NREL5MW
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.18	64.138	-21.983	0.0
4.23	306.003	-162.931	0.0
6.965	340.807	-282.594	0.0
10.04	2164.0	577.306	-541.868
13.8	5729.444	2140.623	-2039.434
17.9	7412.94	2384.806	-3250.832
22.0	8861.998	2369.883	-4490.686
26.1	10907.223	2434.0	-6229.8
30.2	13165.12	2504.119	-7645.928
34.3	15624.549	2556.007	-8341.623
38.4	18404.417	2614.959	-8846.751
42.5	20349.467	2617.307	-8601.979
46.6	22076.741	2600.719	-8119.547
50.7	24238.93	2578.034	-8044.853
54.46	21671.332	2087.228	-6494.972
57.535	17696.247	1549.591	-4802.865
60.265	15187.341	1227.892	-3376.726
62.315	3197.762	247.359	-557.423
