# radius	chord	pitch	Cl	Cd	Cl_Cd	Cn	Ct	Pn	Pt	dT	dQ	F	a	ap	Re	v	v_theta	v_rel	alpha	phi
1.500000000000000000e+00	3.200000000000000178e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	1.570793743646236185e-03	-4.999975326009268861e-01	0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	-1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-2.251474735058555943e-01	3.141592655002709098e-03
2.859999999999999876e+00	3.540000000000000036e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	4.729890939548375139e-01	-1.621151350114537482e-01	9.432103979296498153e+01	-3.232816209905516303e+01	1.924149211776485515e+02	-1.437698024869181097e+02	6.881678218618412224e-01	1.019134147412786850e-01	-1.019134147412786850e-01	2.320982077414461412e+06	8.980865852587212927e+00	3.078156132617709151e+00	9.493734599141639308e+00	1.012309332943173823e+00	1.240598399104032135e+00
5.599999999999999645e+00	3.850000000000000089e+00	2.282890661608583116e-01	0.000000000000000000e+00	4.999999999999999445e-01	0.000000000000000000e+00	4.151715519344938987e-01	-2.786262415213321963e-01	1.290389593644007675e+02	-8.659947939592859711e+01	9.180095965367730741e+02	-2.067592725682740820e+03	8.283045951658133399e-01	5.630024568348596797e-02	-5.630024568348596103e-02	3.021818853580804542e+06	9.436997543165139390e+00	6.333273906746382131e+00	1.136517844151949319e+01	7.514340423754186649e-01	9.797231085362769765e-01
8.330000000000000071e+00	4.166999999999999815e+00	2.282890661608583116e-01	0.000000000000000000e+00	3.500000000000000333e-01	0.000000000000000000e+00	2.477005792204249046e-01	-2.472739837788561768e-01	1.206367728123743461e+02	-1.204290094816252292e+02	1.022422123263894264e+03	-5.904799275506706181e+03	8.874316311546865954e-01	3.220457850149990864e-02	-3.220457850149992252e-02	3.935315209012532141e+06	9.677954214985000192e+00	9.661286627170303731e+00	1.367491342128664833e+01	5.579709502848760883e-01	7.862600164457343999e-01
1.175000000000000000e+01	4.549999999999999822e+00	2.282890661608583116e-01	1.521860195759916490e+00	1.187641618874865079e-01	1.281413661809595261e+01	1.417268961698593399e+00	5.670203451314946852e-01	1.144860011056650137e+03	4.580350915316548139e+02	6.491998501248095636e+03	1.738846877720318298e+04	9.668854707474219268e-01	2.541002818014370668e-01	7.330988141363954658e-02	5.295990321833339520e+06	7.458997181985629332e+00	1.511365124681071315e+01	1.685405271651577053e+01	2.301668650523513993e-01	4.584559312132097109e-01
1.584999999999999964e+01	4.652000000000000135e+00	2.003637981289490277e-01	1.331221944397541712e+00	1.276635164041542252e-02	1.042758324299316541e+02	1.254472584117972689e+00	4.456606115376972599e-01	1.649990649982501054e+03	5.861713132772073322e+02	1.718833156539078118e+04	8.862179757612811227e+04	9.877437579297202452e-01	2.688067023355946716e-01	5.148544933095217796e-02	6.833157591421310790e+06	7.311932976644053284e+00	1.997279920758916205e+01	2.126915776521508405e+01	1.505765899466261215e-01	3.509403880755751493e-01
1.994999999999999929e+01	4.458000000000000185e+00	1.773254520026238956e-01	1.107565747312128090e+00	1.142472243448524466e-02	9.694465258682942022e+01	1.062779131624569162e+00	3.119822531572986613e-01	1.966077858550549990e+03	5.771485174493966497e+02	2.223882132747826108e+04	1.280640635655381629e+05	9.945268787937152632e-01	2.487549217266760149e-01	3.093133003705558770e-02	7.933052138483807445e+06	7.512450782733239407e+00	2.464784988230260154e+01	2.576729362163425918e+01	1.185212347044310444e-01	2.958466867070549400e-01
2.405000000000000071e+01	4.248999999999999666e+00	1.572716188972090312e-01	9.899011205884272746e-01	9.839548839180513318e-03	1.006043200524294718e+02	9.613749217814793191e-01	2.361340827437603540e-01	2.356848219281995171e+03	5.788919388443531489e+02	2.658599537867016261e+04	1.564122737365443900e+05	9.977632790626738135e-01	2.459694481848320180e-01	2.120048794573687473e-02	8.915674569808905944e+06	7.540305518151679820e+00	2.943286215872492306e+01	3.038337674060554860e+01	9.352121767554882892e-02	2.507928365727578601e-01
2.814999999999999858e+01	4.006999999999999673e+00	1.360484151929579888e-01	9.821871651099014500e-01	7.441772557882336825e-03	1.319829593649119772e+02	9.621503252908996107e-01	1.975190087764823188e-01	2.963748417915224763e+03	6.084253514049295291e+02	3.272166931876288436e+04	1.905822348443635274e+05	9.992121265754286830e-01	2.687273936879728264e-01	1.674589939553663628e-02	9.705106437931369990e+06	7.312726063120271291e+00	3.430024569258442568e+01	3.507111086130427680e+01	7.400423152394791648e-02	2.100526467169059053e-01
3.225000000000000000e+01	3.748000000000000220e+00	1.142143462505089135e-01	9.457510664366113318e-01	7.274231830510034802e-03	1.300138747942955888e+02	9.312576523254769700e-01	1.650974836269548107e-01	3.458261211267554700e+03	6.130958733914698087e+02	3.949535921947410679e+04	2.268731370814352995e+05	9.995051976335290744e-01	2.748352496162145275e-01	1.296110976017431429e-02	1.030588258232222125e+07	7.251647503837855169e+00	3.914974098614769105e+01	3.981568297546044022e+01	6.893834206355847760e-02	1.831526883140673911e-01
