NREL5MW2
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.86	152.329	-77.037	0.0
5.6	358.439	-248.706	0.0
8.33	383.138	-379.932	0.0
11.75	3133.366	760.562	-882.021
15.85	6467.501	2249.844	-2485.504
19.95	8124.502	2386.506	-3757.775
24.05	9438.075	2324.643	-4892.223
28.15	11874.789	2453.95	-6756.906
32.25	14068.008	2489.969	-8002.548
36.35	16997.361	2596.533	-8770.911
40.45	19534.474	2603.126	-8982.237
44.55	21787.477	2647.913	-8787.581
48.65	22948.115	2568.832	-8030.722
52.75	25471.714	2569.58	-8000.375
56.17	17415.84	1598.398	-4941.461
58.9	16830.294	1433.881	-4121.837
61.64	7729.536	633.499	-1662.152
