# radius	chord	pitch	Cl	Cd	Cl_Cd	Cn	Ct	Pn	Pt	dT	dQ	F	a	ap	Re	v	v_theta	v_rel	alpha	phi
1.500000000000000000e+00	3.200000000000000178e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	1.570793743646236185e-03	-4.999975326009268861e-01	0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	-1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-2.251474735058555943e-01	3.141592655002709098e-03
4.219999999999999751e+00	3.696861313999999954e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	4.461862309471131272e-01	-2.256498333994718664e-01	1.120063431317798290e+02	-5.664498569066326894e+01	4.569858799776617388e+02	-6.609790090272115322e+02	7.802068979333884879e-01	6.985041013127664400e-02	-6.985041013127665788e-02	2.661161525215271860e+06	9.301495898687232255e+00	4.704046997271014163e+00	1.042333363688555536e+01	8.742860396228575581e-01	1.102575105783715870e+00
6.980000000000000426e+00	4.012219779999999680e+00	2.282890661608583116e-01	0.000000000000000000e+00	4.999999999999999445e-01	0.000000000000000000e+00	3.835141951804913463e-01	-3.208065805046085850e-01	1.477320978499728028e+02	-1.235767273743739310e+02	1.075317145664456120e+03	-4.178260195699822361e+03	8.618004917118092800e-01	4.933876775400562742e-02	-4.933876775400562048e-02	3.434238855860149022e+06	9.506612322459943698e+00	7.952205758433597005e+00	1.239408142114661437e+01	6.459077094144922704e-01	8.741967755753505820e-01
9.679999999999999716e+00	4.320947367999999678e+00	2.282890661608583116e-01	0.000000000000000000e+00	3.499999999999999778e-01	0.000000000000000000e+00	2.285216921615643437e-01	-2.650996722208747158e-01	1.360740734475457998e+02	-1.578545648226688058e+02	1.149414993754950046e+03	-9.494506789205530367e+03	9.083227234865417499e-01	3.048648537796385879e-02	-3.048648537796385879e-02	4.431032086548011750e+06	9.695135146220362543e+00	1.124697233375188787e+01	1.484890676715487068e+01	4.831429918482261776e-01	7.114320580090844892e-01
1.382000000000000028e+01	4.604963415000000282e+00	2.141902112911805989e-01	1.408321989865387813e+00	5.052468835677551007e-02	2.787393719127270231e+01	1.316758550126741145e+00	5.020662226639802661e-01	1.377629535785407370e+03	5.252756909727588663e+02	9.400099413336640282e+03	2.680980102235670347e+04	9.794338518958632944e-01	2.572993225346476009e-01	6.025280388487058020e-02	6.063420262190802954e+06	7.427006774653523991e+00	1.755997425557957214e+01	1.906602017955940909e+01	1.859435437717956163e-01	4.001337550629762152e-01
1.787999999999999901e+01	4.555946341000000288e+00	1.889570071653882410e-01	1.210522791628641848e+00	1.174637397761922608e-02	1.030550188453979814e+02	1.152177093099279626e+00	3.714718730823589610e-01	1.808331534963076365e+03	5.830217476722123138e+02	1.940250292085826004e+04	1.069800727113637840e+05	9.917591414364876901e-01	2.579377738005961263e-01	3.949100302293098719e-02	7.386864613187707961e+06	7.420622261994038737e+00	2.227381721620277943e+01	2.347740548135617189e+01	1.326325814943598302e-01	3.215895886597480713e-01
2.201999999999999957e+01	4.352480488000000314e+00	1.672007118746438592e-01	1.021222669172089148e+00	1.105307245464760314e-02	9.239265130689383909e+01	9.861618362945392402e-01	2.655235264111944771e-01	2.116548655387414783e+03	5.698795492948750052e+02	2.437350598207655275e+04	1.428323652306039876e+05	9.963564660793247096e-01	2.404096520643781432e-01	2.474852026722614701e-02	8.443060053771177307e+06	7.595903479356218568e+00	2.704213749888041463e+01	2.808869790816317291e+01	1.066343816290303281e-01	2.738350935036741873e-01
2.607999999999999829e+01	4.129180488000000260e+00	1.467635448624971251e-01	9.411169207044359775e-01	9.693391123332006920e-03	9.708851203158057785e+01	9.177909179369821979e-01	2.084582721315254017e-01	2.532749502619666600e+03	5.752645561636816183e+02	2.831422578226311452e+04	1.677229588339346810e+05	9.985149853252561769e-01	2.429185342912467682e-01	1.782995375606969204e-02	9.324973454530997202e+06	7.570814657087532318e+00	3.181187130387065665e+01	3.270034235946162937e+01	8.687728669929400960e-02	2.336408315617911347e-01
3.021999999999999886e+01	3.876236585000000012e+00	1.250248730687813503e-01	9.592639739759953876e-01	7.331513195808478378e-03	1.308411985842730303e+02	9.423517434251230673e-01	1.794834658613166101e-01	3.203863760772183014e+03	6.102186109836118248e+02	3.562436836566338752e+04	2.072360906737691257e+05	9.994319546841911039e-01	2.709908922786847807e-01	1.461521873274535845e-02	1.002829424821079895e+07	7.290091077213151749e+00	3.674533697163204238e+01	3.746151648122178557e+01	7.082694095072472606e-02	1.958518140195060764e-01
3.428000000000000114e+01	3.626199999999999868e+00	1.039914419986126687e-01	9.367034465315650094e-01	7.239144693338848448e-03	1.293942152300781459e+02	9.241730938872338985e-01	1.528719872798856849e-01	3.726189296229573756e+03	6.163671789011841611e+02	4.220402311714072130e+04	2.409045155978487746e+05	9.994502757765865164e-01	2.795221512786023599e-01	1.160836429701267436e-02	1.056265519502110966e+07	7.204778487213976845e+00	4.155847733288365475e+01	4.217838156304276254e+01	6.766720720941850342e-02	1.716586492080311721e-01
3.842000000000000171e+01	3.377800000000000136e+00	8.323087825188148214e-02	9.707435386387707199e-01	6.797051373275600668e-03	1.428183318512943458e+02	9.610924013247069686e-01	1.367136197757993776e-01	4.485096269624536944e+03	6.379966642313959255e+02	5.099208336395402875e+04	2.831519405837683007e+05	9.990009561928502313e-01	3.052953830007141267e-01	9.925047030349531257e-03	1.096760265457645431e+07	6.947046169992859177e+00	4.649999497097468293e+01	4.701607153717421284e+01	6.507110414992288427e-02	1.483019824018043664e-01
4.247999999999999687e+01	3.134199999999999875e+00	6.390846580879362693e-02	9.857058854449816110e-01	6.967783372915240317e-03	1.414662070690314408e+02	9.780691448588465509e-01	1.226596530285801318e-01	5.137797385869914251e+03	6.443311784187807234e+02	5.860342236196114391e+04	3.158892819223654806e+05	9.974197035965486346e-01	3.193131979062797665e-01	8.381270025124325923e-03	1.120878374123421870e+07	6.806868020937201891e+00	5.133524991230761003e+01	5.178456657937320529e+01	6.791891048173588630e-02	1.318273762905295132e-01
4.661999999999999744e+01	2.885800000000000143e+00	4.743924100691194329e-02	9.363531147675469013e-01	5.380354730471735569e-03	1.740318550865232510e+02	9.299344839000268648e-01	1.095808350283169197e-01	5.387553719243034720e+03	6.348540091110704680e+02	6.536243036275143095e+04	3.538936176486647455e+05	9.913062430208711140e-01	3.044082771633078721e-01	6.750905937766581155e-03	1.129520648329101875e+07	6.955917228366921279e+00	5.624717311474301340e+01	5.667564969091895222e+01	7.560301283912790327e-02	1.230422538460398396e-01
5.067999999999999972e+01	2.642199999999999882e+00	3.362146931887283197e-02	9.534723197067798139e-01	5.359445956831977373e-03	1.779050161876036498e+02	9.481184009979248817e-01	1.010429898465498022e-01	5.916936454786419745e+03	6.305804733822195658e+02	6.884434515983941674e+04	3.749210303213884472e+05	9.757626608296815496e-01	3.141940946239962784e-01	5.846781522049526551e-03	1.121738015961838141e+07	6.858059053760037216e+00	6.109066307950918429e+01	6.147440190419884232e+01	7.817082930167562616e-02	1.117922986205484581e-01
5.482000000000000028e+01	2.393921053000000132e+00	1.962990181053729175e-02	9.734983250356653572e-01	5.378922026201203056e-03	1.809839072389726482e+02	9.690941311699435845e-01	9.265250445283254588e-02	6.388239330907759722e+03	6.107625193624210169e+02	7.641514162916087662e+04	4.066360342058074893e+05	9.309489203006159341e-01	3.317765355849915387e-01	5.206450176531388085e-03	1.097372187395780534e+07	6.682234644150084613e+00	6.603903220158963450e+01	6.637624600685151677e+01	8.121300657291224967e-02	1.008429083834495449e-01
