NREL5MW2_2
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.86	152.334	-77.04	0.0
5.6	358.434	-248.7	0.0
8.33	383.131	-379.926	0.0
11.75	3159.99	754.535	-871.907
15.85	6521.383	2248.74	-2476.589
19.95	8184.226	2396.318	-3760.052
24.05	9506.712	2334.537	-4896.196
28.15	11921.247	2459.908	-6759.6
32.25	14039.126	2487.625	-7999.806
36.35	16875.192	2588.324	-8773.747
40.45	19295.914	2590.937	-8995.691
44.55	21337.78	2622.861	-8767.292
48.65	22201.594	2526.065	-7960.352
52.75	24403.404	2514.724	-7907.743
56.17	16597.381	1561.333	-4876.889
58.9	15994.977	1399.14	-4064.729
61.64	7337.718	617.611	-1638.495
