# radius	chord	pitch	Cl	Cd	Cl_Cd	Cn	Ct	Pn	Pt	dT	dQ	F	a	ap	Re	v	v_theta	v_rel	alpha	phi
1.500000000000000000e+00	3.200000000000000178e+00	2.282887284396480365e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	1.570793743646236185e-03	-4.999975326009268861e-01	0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	-1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-2.251471357846453192e-01	3.141592655002709098e-03
4.219999999999999751e+00	3.697000000000000064e+00	2.277869656528543896e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	4.461862309471131272e-01	-2.256498333994718664e-01	1.120099579729714634e+02	-5.664681382487288630e+01	4.570006285297235991e+02	-6.610003411596767364e+02	7.802068979333884879e-01	6.985284749355298584e-02	-6.985284749355298584e-02	2.661254383864212781e+06	9.301471525064469503e+00	4.704034670794905004e+00	1.042330632360124376e+01	8.747881401308614802e-01	1.102575105783715870e+00
6.980000000000000426e+00	4.011999999999999567e+00	2.258812579213613780e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	3.835141951804914018e-01	-3.208065805046086405e-01	1.477248039311307082e+02	-1.235706260691507623e+02	1.075301914282983262e+03	-4.178161126503044215e+03	8.618004917118092800e-01	4.933619843096963969e-02	-4.933619843096963969e-02	3.434060017405013554e+06	9.506638015690304755e+00	7.952227250616878962e+00	1.239411491825139500e+01	6.483155176539892040e-01	8.741967755753505820e-01
9.679999999999999716e+00	4.320999999999999730e+00	2.224068781033060327e-01	0.000000000000000000e+00	3.499999999999999778e-01	0.000000000000000000e+00	2.285216921615643437e-01	-2.650996722208747158e-01	1.360756298576743291e+02	-1.578563703572376085e+02	1.149391756844659994e+03	-9.494361864938849976e+03	9.083227234865417499e-01	3.048684540238674745e-02	-3.048684540238674745e-02	4.431084413989171386e+06	9.695131545976131804e+00	1.124696815723999244e+01	1.484890125308104736e+01	4.890251799057784288e-01	7.114320580090844892e-01
1.382000000000000028e+01	4.605000000000000426e+00	2.083751684934135318e-01	1.420582676193493432e+00	5.598229223302998714e-02	2.537557180188735728e+01	1.330871736749268175e+00	4.999695763411201033e-01	1.390489424461445651e+03	5.223661974766023377e+02	9.479968987321735767e+03	2.659737081033224968e+04	9.796650856575613853e-01	2.602462978603730104e-01	6.014356641491569455e-02	6.059293518705608323e+06	7.397537021396269452e+00	1.755816505766646429e+01	1.905289254090275719e+01	1.903710200522047979e-01	3.987461885456183297e-01
1.787999999999999901e+01	4.556000000000000050e+00	1.866521871398600096e-01	1.219459363745968083e+00	1.178128196109991949e-02	1.035082063032228348e+02	1.161062551506448770e+00	3.730330949415929798e-01	1.822014482484026757e+03	5.853876697233622508e+02	1.956414879329792166e+04	1.069276036622773536e+05	9.918728079004223153e-01	2.603564500166726248e-01	3.977636190504373753e-02	7.386375646689041518e+06	7.396435499833273752e+00	2.227993177762055055e+01	2.347557492626367903e+01	1.338775990138197647e-01	3.205297861536797743e-01
2.201999999999999957e+01	4.352000000000000313e+00	1.654140030128397332e-01	1.028558103246194788e+00	1.108646216082290886e-02	9.277604418124388985e+01	9.934447218831825577e-01	2.666875811864873880e-01	2.131717784505354302e+03	5.722539434748740632e+02	2.455267737800406030e+04	1.434196406383229187e+05	9.964096853300902223e-01	2.425939238358885142e-01	2.492197265688928312e-02	8.441679774657437578e+06	7.574060761641114858e+00	2.704671474225087024e+01	2.808720660318007134e+01	1.076283208990589102e-01	2.730423239118986434e-01
2.607999999999999829e+01	4.128999999999999559e+00	1.451265141981602225e-01	9.480204533505918185e-01	9.709679330202912462e-03	9.763663877154840520e+01	9.246583635470624341e-01	2.093895139834504870e-01	2.551391387483164181e+03	5.777643113044422307e+02	2.852013485741007025e+04	1.684368486771250900e+05	9.985422480984856852e-01	2.451886703967851577e-01	1.796079923958812316e-02	9.324203907754838467e+06	7.548113296032148867e+00	3.181596082753521060e+01	3.269907304051587715e+01	8.780997398916220997e-02	2.329364881873224324e-01
3.021999999999999886e+01	3.875999999999999890e+00	1.247516900327354517e-01	9.604505773828938553e-01	7.336819250619184760e-03	1.309083057077953072e+02	9.435360792603307845e-01	1.796073708005692382e-01	3.207665077778223349e+03	6.105969911401691661e+02	3.576374064927321888e+04	2.077392218222961819e+05	9.994342977796146776e-01	2.713907233232402127e-01	1.463227214157005775e-02	1.002763611660210416e+07	7.286092766767597873e+00	3.674595457842742263e+01	3.746134441909145352e+01	7.099222451189299288e-02	1.957439145446284445e-01
3.428000000000000114e+01	3.625999999999999890e+00	1.050182167540999745e-01	9.322543884687807259e-01	7.222863864270612048e-03	1.290699099397912732e+02	9.197257585444579275e-01	1.524957168300916099e-01	3.708160656082156038e+03	6.148339460072401153e+02	4.211737871920973703e+04	2.406776996330941620e+05	9.994405444315114240e-01	2.778505200763745631e-01	1.155279641639915186e-02	1.056222525626868382e+07	7.221494799236253925e+00	4.155619451614506232e+01	4.217899109508288547e+01	6.704017110688773040e-02	1.720583878609877049e-01
