NREL5MW2_Precone
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.859	152.151	-76.9	0.0
5.596	357.991	-248.215	0.0
8.323	382.611	-379.11	0.0
11.74	3127.953	759.589	-879.468
15.836	6457.426	2247.258	-2479.267
19.932	8113.241	2384.777	-3748.985
24.029	9424.879	2323.079	-4880.604
28.125	11856.75	2452.15	-6740.163
32.221	14044.931	2487.961	-7982.103
36.317	16966.128	2594.189	-8747.412
40.413	19495.419	2600.55	-8957.071
44.509	21744.669	2645.494	-8764.137
48.605	22904.291	2566.862	-8010.552
52.701	25424.247	2568.309	-7980.372
56.118	17386.633	1598.664	-4929.394
58.845	16812.971	1436.955	-4112.514
61.583	10397.895	755.808	-1930.87
