# radius	chord	pitch	Cl	Cd	Cl_Cd	Cn	Ct	Pn	Pt	dT	dQ	F	a	ap	Re	v	v_theta	v_rel	alpha	phi
1.500000000000000000e+00	3.200000000000000178e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	1.570793743646236185e-03	-4.999975326009268861e-01	0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	-1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-2.251474735058555943e-01	3.141592655002709098e-03
4.217411163000000407e+00	3.696861313999999954e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	4.462419734659042181e-01	-2.255395777180919104e-01	1.119823969247628810e+02	-5.659813288765076322e+01	4.564533231942713201e+02	-6.595050847875188538e+02	7.800919137036183004e-01	6.989175106453369979e-02	-6.989175106453371367e-02	2.660710843219310045e+06	9.301082489354662641e+00	4.700952267386361960e+00	1.042156838935603425e+01	8.745331310533475122e-01	1.102822197214205824e+00
6.974784254000000239e+00	4.012219779999999680e+00	2.282890661608583116e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	3.836321802529243929e-01	-3.206654803286249078e-01	1.476783819942460241e+02	-1.234394863984512369e+02	1.073972466869062828e+03	-4.167113621967711879e+03	8.616900321417905184e-01	4.936542134548378702e-02	-4.936542134548378702e-02	3.433086408899106085e+06	9.506345786545161047e+00	7.946040751322413165e+00	1.238992226912830219e+01	6.462755666550688005e-01	8.745646328159271121e-01
9.672214453000000489e+00	4.320947367999999678e+00	2.282890661608583116e-01	0.000000000000000000e+00	3.499999999999999778e-01	0.000000000000000000e+00	2.286271671303699016e-01	-2.650087139132256686e-01	1.360074534208641523e+02	-1.576503823498949828e+02	1.147834109215893250e+03	-9.466569272716287742e+03	9.082135479985279369e-01	3.050018422896560652e-02	-3.050018422896560652e-02	4.428925292152077891e+06	9.694998157710344344e+00	1.123776769581346713e+01	1.484184665272740489e+01	4.835409292141406024e-01	7.118299953749989140e-01
1.380827408999999939e+01	4.604963415000000282e+00	2.141902112911805989e-01	1.409097286506961089e+00	5.083914085391263299e-02	2.771678008005746108e+01	1.317461695570732783e+00	5.024285638654858444e-01	1.376520308916373551e+03	5.249512181383927327e+02	9.383857541467463307e+03	2.675328406263243596e+04	9.793821762797244590e-01	2.573304575594066446e-01	6.032360891279868464e-02	6.059361101453375071e+06	7.426695424405933110e+00	1.754624675722896399e+01	1.905325641963756311e+01	1.862091505734563834e-01	4.003993618646369823e-01
1.786440986999999936e+01	4.555946341000000288e+00	1.889570071653882410e-01	1.211814890925635213e+00	1.175132690246451922e-02	1.031215369109926030e+02	1.153337718903953091e+00	3.720826920275968064e-01	1.807508313878360923e+03	5.831271693162499332e+02	1.937227863219277060e+04	1.067650479846400704e+05	9.917369908600139894e-01	2.580804054406649062e-01	3.957560383886811473e-02	7.381466170561788604e+06	7.419195945593351382e+00	2.225620719327280383e+01	2.346024780578834523e+01	1.328121573415117218e-01	3.217691645068999629e-01
2.200046950999999851e+01	4.352480488000000314e+00	1.672007118746438592e-01	1.022450709785276191e+00	1.105837423757429806e-02	9.245940567928863629e+01	9.873013866395675686e-01	2.660144987040754527e-01	2.115665547286851506e+03	5.700363815982918823e+02	2.433972160180259380e+04	1.426032478964171896e+05	9.963443312636609539e-01	2.405577566906229592e-01	2.480444116118752512e-02	8.436425569999311119e+06	7.594422433093770408e+00	2.701962704828074280e+01	2.806662605160196478e+01	1.068004699468040331e-01	2.740011818214478923e-01
2.605660529000000025e+01	4.129180488000000260e+00	1.467635448624971251e-01	9.422545441169174474e-01	9.695965835078378808e-03	9.718006025846321450e+01	9.188661776660829172e-01	2.088602049308996844e-01	2.531555313787809609e+03	5.754278201583507553e+02	2.827463821825102423e+04	1.674605839225909731e+05	9.985094483178507119e-01	2.430521101301612585e-01	1.787030646761671171e-02	9.317318472444694489e+06	7.569478898698386971e+00	3.178459497315667903e+01	3.267349825784587125e+01	8.703079265536753373e-02	2.337943375178646588e-01
3.019266491999999857e+01	3.876236585000000012e+00	1.250248730687813503e-01	9.602969732297984562e-01	7.336129894943755649e-03	1.308996687601809299e+02	9.433400280531347715e-01	1.798157030652737243e-01	3.201800070389443590e+03	6.103143231605686196e+02	3.557024962340800266e+04	2.068974808015283197e+05	9.994308333861663396e-01	2.710792804048673954e-01	1.464578331588792075e-02	1.001981126212651655e+07	7.289207195951325602e+00	3.671320541563711970e+01	3.742982759025581174e+01	7.097083383892968667e-02	1.959957069077110370e-01
3.424880069999999677e+01	3.626199999999999868e+00	1.039914419986126687e-01	9.376613819690553520e-01	7.242734382965626896e-03	1.294623456265861705e+02	9.250969206239786358e-01	1.531568212307015397e-01	3.723476285995418493e+03	6.164497785878536433e+02	4.213479182328098977e+04	2.404917685934868641e+05	9.994529134967918838e-01	2.795843146800180978e-01	1.163205485483455662e-02	1.055353572745142505e+07	7.204156853199819466e+00	4.152162602298935212e+01	4.214196606185445404e+01	6.780204494224274792e-02	1.717934869408554166e-01
