SNL15
TSR: 6.8688
Pitch: 2.6
V_inf: 8.0
Radius	Axial Force	Tangential Force	Moment
2.45	28.973	-17.911	0.0
3.35	17.224	-11.35	0.0
4.25	71.515	-60.87	0.0
5.15	41.116	-2.014	-12.379
6.05	397.416	176.629	-94.849
6.95	174.063	83.588	-32.173
7.85	692.801	300.067	-158.82
8.75	220.146	87.076	-58.405
10.5	2186.996	707.968	-667.421
12.25	346.057	95.638	-113.123
14.0	3172.105	753.749	-991.895
15.75	474.608	98.932	-142.478
17.5	4185.422	772.438	-1184.844
19.25	603.227	100.526	-163.679
21.0	5056.561	776.706	-1309.807
22.75	700.91	99.484	-172.516
24.5	5772.246	762.094	-1315.599
26.25	786.56	97.023	-166.179
28.0	6301.831	735.005	-1240.038
29.75	835.812	92.25	-153.048
31.5	6249.871	638.114	-1061.982
33.25	768.549	70.793	-120.408
34.225	1471.254	132.707	-229.113
