# radius	chord	pitch	Cl	Cd	Cl_Cd	Cn	Ct	Pn	Pt	dT	dQ	F	a	ap	Re	v	v_theta	v_rel	alpha	phi
1.750000000000000000e+00	1.889999999999999902e+00	2.286381320112571558e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	1.570793743646236185e-03	-4.999975326009268861e-01	0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	-1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-2.254965393562544385e-01	3.141592655002709098e-03
3.149999999999999911e+00	1.991111110999999934e+00	2.286381320112571558e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	4.252953479941841142e-01	-2.629141817675605397e-01	4.139055771977871956e+01	-2.558731165793852469e+01	8.692017121153529047e+01	-1.316467184800937105e+02	6.980757970949271751e-01	5.973946652013896463e-02	-5.973946652013895076e-02	1.216030591157930670e+06	7.522084267838888394e+00	4.650092317703858669e+00	8.843365326369692525e+00	7.884695059509168047e-01	1.017107637962173960e+00
3.549999999999999822e+00	2.048888889000000102e+00	2.286381320112571558e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	4.102524086265315062e-01	-2.858198055001252014e-01	4.472991113919662354e+01	-3.116299681126664822e+01	5.167228131538519165e+01	-1.140681200231023666e+02	7.409619284681566720e-01	5.362037022578788198e-02	-5.362037022578788198e-02	1.305641906822915655e+06	7.571037038193696667e+00	5.274685262520121931e+00	9.227291393055047308e+00	7.336554319246924027e-01	9.622935639359495585e-01
4.950000000000000178e+00	2.251111111000000164e+00	2.286381320112571558e-01	0.000000000000000000e+00	5.000000000000000000e-01	0.000000000000000000e+00	3.586368225276322375e-01	-3.483957943593516404e-01	5.743438765759153597e+01	-5.579432410337012271e+01	2.145450274732552032e+02	-7.760940891631333898e+02	8.333819193674212311e-01	4.343393280162301251e-02	-4.343393280162300557e-02	1.658625942122886190e+06	7.652528537587016011e+00	7.434007305541133093e+00	1.066891079901892425e+01	5.712435386814497251e-01	7.998816706927068809e-01
5.349999999999999645e+00	2.308888888999999889e+00	2.286381320112571558e-01	7.876317955177150054e-01	3.242630951524446692e-01	2.428989938393786296e+00	8.138815529776555202e-01	2.512115003557415793e-01	1.481445717446116817e+02	4.572608876729808713e+01	1.233473756413217757e+02	-3.111084718846255370e+01	8.687033258154629456e-01	1.064548294372641840e-01	3.129515247804159905e-02	1.790833522215383127e+06	7.148361364501886861e+00	8.662426689571491423e+00	1.123105989431557639e+01	4.612896165657746073e-01	6.899277485770317631e-01
6.750000000000000000e+00	2.511111110999999951e+00	2.286381320112571558e-01	1.747035805795642105e+00	2.203740368488225215e-02	7.927593607563288458e+01	1.567465793736197988e+00	7.717970843169531525e-01	4.195925898721111480e+02	2.066012150047571367e+02	1.192248039395118212e+03	3.205818394423962218e+03	9.451419331399489865e-01	2.604458470125208258e-01	9.864314048059920348e-02	2.264849055956396274e+06	5.916433223899833393e+00	1.164295543371398978e+01	1.305996145952643772e+01	2.415126650984049661e-01	4.701507971096621219e-01
7.150000000000000355e+00	2.568888889000000120e+00	2.286381320112571558e-01	1.681467933450642827e+00	1.873631671508878271e-02	8.974378257048347507e+01	1.522509439471154469e+00	7.138980792158324817e-01	4.507211727479048022e+02	2.113412049506921164e+02	5.221882575720100021e+02	1.742819891214224981e+03	9.529865303850137970e-01	2.623253116566213183e-01	8.941883932426769599e-02	2.409007058477436658e+06	5.901397506747029453e+00	1.222936020191686701e+01	1.357879757124570297e+01	2.209602192121923325e-01	4.495983512234494883e-01
8.550000000000000711e+00	2.771111111000000182e+00	2.286381320112571558e-01	1.404710664929220476e+00	1.683397265748005564e-02	8.344498910095634869e+01	1.302889635119278688e+00	5.253323076873132047e-01	5.389952522415721887e+02	2.173258671035848977e+02	2.078404492477902295e+03	7.066576682814759806e+03	9.712598287149523113e-01	2.561482181590462037e-01	6.256996818942789362e-02	2.957719976564038545e+06	5.950814254727630370e+00	1.426351179625625143e+01	1.545509492226465831e+01	1.666119455175729125e-01	3.952500775288300683e-01
8.949999999999999289e+00	2.785333333000000078e+00	2.254466728574769374e-01	1.350910025630697620e+00	1.629234066451694732e-02	8.291687814832165770e+01	1.259449375608136856e+00	4.888871117079430229e-01	5.617364864061173648e+02	2.180522168645717329e+02	6.604390431886114357e+02	2.285734940832814118e+03	9.749158923612463168e-01	2.535268997489930065e-01	5.687765733410318075e-02	3.078973682240917813e+06	5.971784802008055948e+00	1.485082450551624511e+01	1.600653623414935467e+01	1.568842870325187766e-01	3.823309598899957140e-01
1.205000000000000071e+01	2.557999987000000086e+00	1.759790551535787284e-01	1.325651995193937616e+00	1.286381204981222950e-02	1.030528112553764970e+02	1.276256759348270542e+00	3.587302248765378287e-01	8.492288111882899102e+02	2.387012175863254413e+02	6.560988633813996785e+03	2.230098643706506846e+04	9.934506739757676952e-01	2.861600940065656129e-01	3.524860920913756857e-02	3.604002061261480208e+06	5.710719247947475097e+00	1.958549338184582567e+01	2.040107510253330858e+01	1.077342902278279058e-01	2.837133453814066342e-01
1.244999999999999929e+01	2.528666653000000153e+00	1.695961367412985310e-01	1.311928918662592647e+00	1.281906498794171262e-02	1.023420132354943206e+02	1.266052152422578514e+00	3.441420686235855952e-01	8.810553954897488893e+02	2.394911029499278641e+02	1.038170524006819505e+03	3.514713555941449158e+03	9.944324381404698876e-01	2.872725900743486882e-01	3.314824305403414606e-02	3.664485686791891232e+06	5.701819279405210494e+00	2.019457913509140923e+01	2.098408371929701843e+01	1.055848785302168080e-01	2.751810152715153390e-01
1.555000000000000071e+01	2.301333307000000161e+00	1.201285190897601884e-01	1.266739158474492921e+00	1.265063486182738464e-02	1.001324575651780719e+02	1.239320068189282420e+00	2.624383789737808614e-01	1.165464254687598441e+03	2.467986742109176816e+02	9.516316373324669257e+03	3.165746449317105726e+04	9.985120594838968744e-01	3.066568976391808032e-01	2.241759912417138137e-02	4.063861785350472201e+06	5.546744818886553574e+00	2.496097375443128996e+01	2.556983748198749495e+01	9.853514924571135647e-02	2.186636683354715449e-01
1.594999999999999929e+01	2.271999972999999784e+00	1.137456006774799772e-01	1.267671527292301592e+00	1.265388324642662335e-02	1.001804349388385589e+02	1.241845309865365676e+00	2.548949749096769413e-01	1.207573623504701118e+03	2.478605394887620719e+02	1.423822726915374687e+03	4.674529569461957180e+03	9.987404466313525297e-01	3.103585916230786612e-01	2.150892100461073569e-02	4.105997199904238805e+06	5.517131267015370710e+00	2.558030185182027694e+01	2.616850359206117105e+01	9.867936946522175290e-02	2.124249701427017301e-01
1.905000000000000071e+01	2.044686319999999835e+00	8.128247659038545514e-02	1.244279728162371645e+00	1.258503630211335600e-02	9.886977663730891663e+01	1.227184838814358470e+00	2.059315333763338252e-01	1.492698400261112511e+03	2.504868547195865176e+02	1.255626491051103949e+04	4.055301920370438893e+04	9.992338403561018545e-01	3.233472527989114109e-01	1.552281828193166624e-02	4.356480939472561702e+06	5.413221977608708713e+00	3.037298530441016808e+01	3.085159977182353330e+01	9.509053004300122014e-02	1.763730066333866753e-01
1.944999999999999929e+01	2.015358067999999836e+00	7.928781459309286461e-02	1.238291663324358804e+00	1.104465039824486725e-02	1.121168727550795836e+02	1.221720668198214232e+00	2.022049372748738749e-01	1.523437109126194855e+03	2.521415190162759643e+02	1.809681305632377871e+03	5.805357716649190479e+03	9.991729023375537366e-01	3.232164512918047627e-01	1.498729617370918137e-02	4.379190553571868688e+06	5.414268389665561898e+00	3.099438518678459786e+01	3.146372856643192506e+01	9.365264073593973504e-02	1.729404553290325997e-01
2.255000000000000071e+01	1.788064107999999930e+00	6.382918407044216313e-02	1.199106033424362394e+00	1.090363153165318719e-02	1.099730883186362007e+02	1.187050795000341052e+00	1.699546370780886384e-01	1.738860520062120713e+03	2.489593620267018821e+02	1.516968397572567483e+04	4.893250103384681279e+04	9.973185935057495843e-01	3.178847701617508736e-01	1.094340027725561326e-02	4.470753181261467747e+06	5.456921838705993011e+00	3.579119520627213547e+01	3.620480148056640957e+01	8.747111670156301755e-02	1.513003007720051807e-01
2.294999999999999929e+01	1.758735855999999931e+00	6.183452207314957261e-02	1.196549017460080133e+00	1.089659545564471838e-02	1.098094374826255262e+02	1.184924709143075683e+00	1.667384797801770013e-01	1.765688578463479871e+03	2.484615495537561571e+02	2.102729459115352711e+03	6.789795443073228853e+03	9.967941732891977269e-01	3.172138587248753971e-01	1.053931047295128542e-02	4.472016675473122858e+06	5.462289130200996823e+00	3.641151221533100824e+01	3.681894654045810000e+01	8.707052854360380900e-02	1.489050506167533816e-01
2.605000000000000071e+01	1.531441896000000025e+00	4.637589155049886419e-02	1.191732463057554092e+00	1.088416065493524876e-02	1.094923624190701474e+02	1.182696208375635383e+00	1.468822901247203994e-01	1.958341267147743110e+03	2.432117801066361551e+02	1.731673878209219765e+04	5.601388408156022342e+04	9.870351734651915399e-01	3.121404871690622862e-01	8.026853766429687537e-03	4.398952546426965855e+06	5.502876102647501710e+00	4.122708638276107962e+01	4.159271927889222553e+01	8.631699293997829869e-02	1.326928844904771698e-01
2.644999999999999929e+01	1.502108564000000035e+00	4.513920110659240537e-02	1.189170468234592049e+00	1.087798061456109189e-02	1.093190464637147272e+02	1.180394231712306841e+00	1.446173942644603805e-01	1.974460123870261896e+03	2.419033154533365177e+02	2.359680834610794591e+03	7.640562755069542618e+03	9.844077011712811798e-01	3.104865720950833463e-01	7.746068158090565862e-03	4.378776058546972461e+06	5.516107423239333230e+00	4.184847172660698789e+01	4.221044926268069020e+01	8.591672649737415457e-02	1.310559276039665599e-01
2.955000000000000071e+01	1.274735868000000050e+00	4.142912979232634546e-02	1.195033498026490948e+00	8.833810227995205280e-03	1.352795076171450148e+02	1.187760939235057656e+00	1.319357754213340284e-01	2.091237084919227527e+03	2.322933658404017478e+02	1.890549202087113372e+04	6.174040790444474260e+04	9.391646395217053689e-01	3.081114352493392605e-01	6.225188806157796323e-03	4.138458923233472276e+06	5.535108518005285916e+00	4.668264811349939691e+01	4.700964859680301799e+01	7.658873729563475674e-02	1.180178670879611091e-01
2.994999999999999929e+01	1.245397456000000069e+00	4.095041090180601140e-02	1.189428577663006026e+00	8.808815090937276160e-03	1.350270797359249002e+02	1.182372915124892065e+00	1.296619688413392091e-01	2.087824105494759351e+03	2.289560092674007308e+02	2.507436714248383396e+03	8.233301345674246477e+03	9.274037249815598738e-01	3.071842055337101751e-01	6.040603838123129350e-03	4.096520514101338107e+06	5.542526355730318599e+00	4.730588260670099743e+01	4.762946700943588496e+01	7.568142422838351757e-02	1.166318351301895290e-01
3.304999999999999716e+01	1.018024760000000084e+00	3.724033958753995149e-02	1.116438206785113074e+00	8.623205218424514693e-03	1.294690522266255073e+02	1.111573442975267056e+00	1.044658322606424466e-01	1.944351006988177915e+03	1.827303876639644500e+02	1.874961427304564495e+04	6.030176499052167492e+04	7.259832502870051663e-01	3.363720413564723621e-01	5.279893340674446899e-03	3.686284527699096594e+06	5.309023669148221103e+00	5.216284545418444196e+01	5.243231997724978299e+01	6.418827555122691431e-02	1.014286151387668589e-01
3.345000000000000284e+01	9.886863479999999926e-01	3.676162069701962437e-02	1.096003610433739617e+00	8.599793129822631485e-03	1.274453459389603296e+02	1.091605704195184767e+00	9.846246540790622170e-02	1.898391735697262220e+03	1.712342926464997959e+02	2.305645645611296914e+03	7.061595372193862204e+03	6.734447130012407579e-01	3.524721838869269153e-01	5.336379408840153174e-03	3.622269151115892921e+06	5.180222528904584678e+00	5.279713229496026372e+01	5.305065394526731382e+01	6.104094726445056379e-02	9.780256796147018816e-02
3.500000000000000000e+01	8.750000000000000000e-01	3.490658503988659095e-02	4.834426085158020081e-01	7.462393283126077595e-03	6.478385555059927015e+01	4.834636665854772364e-01	-5.943579207984260940e-03	0.000000000000000000e+00	-0.000000000000000000e+00	4.413760785496126118e+03	1.362564777304648487e+04	0.000000000000000000e+00	1.000000000000000000e+00	-1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-3.176499238488388055e-02	3.141592655002709098e-03
