
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    2.7480      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.83466E-004 0.24255E-003 0.31493E-004 0.25844E-003
       3  0.34166E-005 0.45454E-004 0.10331E-004 0.46738E-004
       4 -0.79636E-005 0.10211E-003 0.18318E-004 0.10405E-003
       5 -0.37915E-004 0.16806E-003 0.25055E-004 0.17410E-003
       6 -0.28520E-003 0.27351E-003 0.80820E-004 0.40334E-003
       7 -0.22615E-003 0.26822E-003 0.25201E-004 0.35174E-003
       8 -0.30124E-003 0.27172E-003 0.39767E-004 0.40763E-003
       9   0.0000       0.0000       0.0000       0.0000     
      10 -0.16104E-004 0.56332E-004 0.27608E-004 0.64768E-004
      11 -0.63270E-004 0.12298E-003 0.48361E-004 0.14651E-003
      12 -0.15490E-003 0.19559E-003 0.65143E-004 0.25786E-003
      13   0.0000       0.0000       0.0000       0.0000     
      14   0.0000       0.0000       0.0000       0.0000     
      15 -0.10750E-004 0.50272E-004 0.97039E-005 0.52316E-004
      16 -0.18052E-004 0.53222E-004 0.14885E-004 0.58138E-004
      17 -0.53152E-004 0.11328E-003 0.16174E-004 0.12617E-003
      18 -0.74298E-004 0.11776E-003 0.25130E-004 0.14149E-003
      19 -0.12697E-003 0.18631E-003 0.20921E-004 0.22644E-003
      20 -0.17109E-003 0.19086E-003 0.32784E-004 0.25841E-003
      21  0.34841E-003 0.59298E-003 0.41142E-003 0.80143E-003
      22 -0.18322E-003 0.29684E-003 0.14511E-003 0.37781E-003
      23 -0.18078E-004 0.35818E-003 0.22815E-003 0.42505E-003
      24  0.17333E-003 0.46094E-003 0.32051E-003 0.58756E-003
      25   0.0000       0.0000       0.0000       0.0000     
      26  0.48904E-004 0.97705E-004 0.12535E-003 0.16629E-003
      27  0.17472E-003 0.26415E-003 0.23126E-003 0.39215E-003
      28  0.28047E-003 0.43379E-003 0.32418E-003 0.60986E-003
      29   0.0000       0.0000       0.0000       0.0000     
      30   0.0000       0.0000       0.0000       0.0000     
      31   0.0000       0.0000       0.0000       0.0000     
      32 -0.53984E-005 0.61532E-004 0.46875E-004 0.77541E-004
      33  0.11749E-004 0.70446E-004 0.71557E-004 0.10110E-003
      34  0.31482E-004 0.83062E-004 0.98864E-004 0.13291E-003
      35 -0.22160E-004 0.13690E-003 0.84093E-004 0.16219E-003
      36  0.40757E-004 0.16558E-003 0.13011E-003 0.21449E-003
      37  0.11138E-003 0.20973E-003 0.18119E-003 0.29870E-003
      38 -0.82039E-004 0.21576E-003 0.11547E-003 0.25810E-003
      39  0.32189E-004 0.26268E-003 0.18055E-003 0.32036E-003
      40  0.16228E-003 0.33820E-003 0.25294E-003 0.45243E-003
      41  0.32435E-003 0.78558E-003 0.59495E-003 0.10375E-002
      42  0.46226E-003 0.71466E-003 0.48269E-003 0.97847E-003
      43  0.51701E-003 0.81444E-003 0.53783E-003 0.11045E-002
      44  0.51253E-003 0.87110E-003 0.57441E-003 0.11625E-002
      45  0.46298E-003 0.87663E-003 0.59298E-003 0.11552E-002
      46  0.39295E-003 0.84021E-003 0.59777E-003 0.11035E-002
      47   0.0000       0.0000       0.0000       0.0000     
      48  0.49601E-004 0.11476E-003 0.17306E-003 0.21349E-003
      49  0.15110E-003 0.35453E-003 0.32250E-003 0.50253E-003
      50  0.24444E-003 0.58284E-003 0.45865E-003 0.78090E-003
      51   0.0000       0.0000       0.0000       0.0000     
      52   0.0000       0.0000       0.0000       0.0000     
      53   0.0000       0.0000       0.0000       0.0000     
      54   0.0000       0.0000       0.0000       0.0000     
      55  0.21798E-003 0.31769E-003 0.27323E-003 0.47233E-003
      56  0.17888E-003 0.36770E-003 0.32361E-003 0.52147E-003
      57  0.29497E-003 0.61790E-003 0.46234E-003 0.82618E-003
      58  0.35011E-003 0.64844E-003 0.46401E-003 0.87084E-003
      59  0.39459E-003 0.65443E-003 0.45721E-003 0.89052E-003
      60  0.40144E-003 0.60975E-003 0.42911E-003 0.84681E-003
      61  0.35838E-003 0.52527E-003 0.38121E-003 0.74139E-003
      62  0.55130E-004 0.11712E-003 0.17224E-003 0.21546E-003
      63  0.62998E-004 0.11433E-003 0.14870E-003 0.19786E-003
      64  0.79175E-004 0.14197E-003 0.18291E-003 0.24470E-003
      65  0.61543E-004 0.12056E-003 0.16982E-003 0.21716E-003
      66  0.20892E-003 0.38168E-003 0.32673E-003 0.54413E-003
      67  0.25362E-003 0.41589E-003 0.33836E-003 0.59311E-003
      68  0.26608E-003 0.40569E-003 0.32730E-003 0.58524E-003
      69  0.16550E-003 0.71395E-003 0.56783E-003 0.92712E-003
      70  0.27312E-003 0.74153E-003 0.58970E-003 0.98600E-003
      71  0.23211E-003 0.71402E-003 0.58345E-003 0.95085E-003
      72  0.19763E-003 0.70608E-003 0.57662E-003 0.93279E-003
      73   0.0000       0.0000       0.0000       0.0000     
      74  0.31569E-004 0.10683E-003 0.16280E-003 0.19727E-003
      75  0.73509E-004 0.32778E-003 0.30390E-003 0.45299E-003
      76  0.11857E-003 0.53176E-003 0.43421E-003 0.69668E-003
      77   0.0000       0.0000       0.0000       0.0000     
      78   0.0000       0.0000       0.0000       0.0000     
      79   0.0000       0.0000       0.0000       0.0000     
      80  0.44281E-004 0.10891E-003 0.17069E-003 0.20726E-003
      81  0.39698E-004 0.10579E-003 0.16776E-003 0.20226E-003
      82  0.35749E-004 0.10530E-003 0.16540E-003 0.19930E-003
      83  0.12744E-003 0.33825E-003 0.31802E-003 0.48144E-003
      84  0.10765E-003 0.32774E-003 0.31305E-003 0.46584E-003
      85  0.90284E-004 0.32485E-003 0.30861E-003 0.45708E-003
      86  0.20477E-003 0.55252E-003 0.45303E-003 0.74326E-003
      87  0.17235E-003 0.53279E-003 0.44682E-003 0.71640E-003
      88  0.14468E-003 0.52670E-003 0.44093E-003 0.70198E-003
      89  0.12646E-003 0.36580E-003 0.12853E-003 0.40782E-003
      90  0.12273E-003 0.73442E-003 0.55224E-003 0.92704E-003
      91  0.78190E-004 0.74590E-003 0.52888E-003 0.91771E-003
      92  0.39527E-004 0.72789E-003 0.49372E-003 0.88043E-003
      93  0.18445E-004 0.67407E-003 0.44562E-003 0.80827E-003
      94  0.21730E-004 0.59489E-003 0.38655E-003 0.70978E-003
      95  0.45514E-004 0.51114E-003 0.32151E-003 0.60556E-003
      96  0.79001E-004 0.43986E-003 0.25421E-003 0.51414E-003
      97  0.10919E-003 0.39119E-003 0.18922E-003 0.44806E-003
      98   0.0000       0.0000       0.0000       0.0000     
      99  0.21453E-004 0.68455E-004 0.38458E-004 0.81396E-004
     100  0.38909E-004 0.16182E-003 0.70757E-004 0.18085E-003
     101  0.74243E-004 0.26147E-003 0.99707E-004 0.28951E-003
     102   0.0000       0.0000       0.0000       0.0000     
     103   0.0000       0.0000       0.0000       0.0000     
     104   0.0000       0.0000       0.0000       0.0000     
     105   0.0000       0.0000       0.0000       0.0000     
     106   0.0000       0.0000       0.0000       0.0000     
     107   0.0000       0.0000       0.0000       0.0000     
     108   0.0000       0.0000       0.0000       0.0000     
     109   0.0000       0.0000       0.0000       0.0000     
     110  0.26269E-004 0.10957E-003 0.15877E-003 0.19469E-003
     111  0.20621E-004 0.11151E-003 0.15257E-003 0.19010E-003
     112  0.15558E-004 0.11019E-003 0.14302E-003 0.18122E-003
     113  0.12333E-004 0.10488E-003 0.12974E-003 0.16729E-003
