NREL5MW-B1-4
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.179	64.369	-21.998	0.0
4.227	307.673	-163.129	0.0
6.96	344.069	-283.193	0.0
10.032	2196.379	591.927	-548.346
13.788	5830.304	2213.161	-2041.065
17.884	7578.79	2511.556	-3259.85
21.98	9067.452	2526.49	-4524.651
26.077	11111.291	2618.91	-6265.926
30.173	13311.156	2714.544	-7677.761
34.269	15660.864	2792.999	-8366.567
38.365	18270.1	2882.314	-8872.331
42.461	19891.531	2885.122	-8588.666
46.557	21193.782	2855.71	-8043.646
50.653	22893.979	2828.548	-7931.889
54.41	20198.678	2292.764	-6377.633
57.482	16359.378	1711.072	-4703.879
60.209	13939.416	1361.128	-3301.02
62.257	4107.951	346.534	-678.454
