NREL5MW-B1-2
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.177	63.851	-21.845	0.0
4.22	304.555	-161.742	0.0
6.944	339.04	-280.279	0.0
10.008	2144.109	575.868	-537.222
13.753	5645.908	2125.404	-2027.869
17.838	7233.682	2353.747	-3222.358
21.922	8525.924	2318.962	-4429.43
26.007	10343.316	2363.981	-6139.154
30.091	12286.699	2413.125	-7522.804
34.176	14382.002	2450.068	-8228.044
38.26	16705.092	2498.63	-8763.953
42.345	18019.966	2462.191	-8387.062
46.429	19020.24	2400.525	-7745.495
50.513	20417.398	2350.879	-7627.063
54.259	17936.868	1889.456	-6126.548
57.323	14513.095	1404.879	-4518.024
60.042	12407.996	1126.103	-3173.757
62.084	3888.207	330.352	-658.854
