
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    7.1190      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.63396E-004 0.25520E-003 0.28002E-004 0.26445E-003
       3  0.51515E-005 0.48671E-004 0.91993E-005 0.49800E-004
       4 -0.22826E-005 0.10861E-003 0.16306E-004 0.10985E-003
       5 -0.25978E-004 0.17768E-003 0.22285E-004 0.18094E-003
       6 -0.30637E-003 0.28626E-003 0.73648E-004 0.42571E-003
       7 -0.22092E-003 0.28284E-003 0.20155E-004 0.35946E-003
       8 -0.31083E-003 0.28625E-003 0.33195E-004 0.42386E-003
       9   0.0000       0.0000       0.0000       0.0000     
      10 -0.18646E-004 0.59031E-004 0.25618E-004 0.66997E-004
      11 -0.71288E-004 0.12866E-003 0.44546E-004 0.15369E-003
      12 -0.16933E-003 0.20461E-003 0.59610E-004 0.27220E-003
      13   0.0000       0.0000       0.0000       0.0000     
      14   0.0000       0.0000       0.0000       0.0000     
      15 -0.10586E-004 0.53449E-004 0.82060E-005 0.55102E-004
      16 -0.19423E-004 0.56208E-004 0.13016E-004 0.60878E-004
      17 -0.52449E-004 0.12010E-003 0.13403E-004 0.13173E-003
      18 -0.78542E-004 0.12425E-003 0.21597E-004 0.14857E-003
      19 -0.12455E-003 0.19694E-003 0.16992E-004 0.23364E-003
      20 -0.17818E-003 0.20120E-003 0.27703E-004 0.27018E-003
      21  0.33199E-003 0.60797E-003 0.41657E-003 0.80832E-003
      22 -0.21044E-003 0.30747E-003 0.13880E-003 0.39761E-003
      23 -0.45759E-004 0.36782E-003 0.22433E-003 0.43325E-003
      24  0.14990E-003 0.47189E-003 0.32064E-003 0.58988E-003
      25   0.0000       0.0000       0.0000       0.0000     
      26  0.46981E-004 0.10093E-003 0.12707E-003 0.16893E-003
      27  0.16977E-003 0.27128E-003 0.23428E-003 0.39661E-003
      28  0.27054E-003 0.44481E-003 0.32827E-003 0.61547E-003
      29   0.0000       0.0000       0.0000       0.0000     
      30   0.0000       0.0000       0.0000       0.0000     
      31   0.0000       0.0000       0.0000       0.0000     
      32 -0.85243E-005 0.63987E-004 0.45173E-004 0.78788E-004
      33  0.86253E-005 0.72851E-004 0.70609E-004 0.10182E-003
      34  0.28844E-004 0.85716E-004 0.99093E-004 0.13416E-003
      35 -0.31973E-004 0.14178E-003 0.80778E-004 0.16628E-003
      36  0.31156E-004 0.17019E-003 0.12817E-003 0.21533E-003
      37  0.10364E-003 0.21506E-003 0.18143E-003 0.29985E-003
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    7.1190      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      38 -0.10014E-003 0.22332E-003 0.11062E-003 0.26858E-003
      39  0.14141E-004 0.26964E-003 0.17764E-003 0.32321E-003
      40  0.14740E-003 0.34623E-003 0.25310E-003 0.45350E-003
      41  0.32371E-003 0.82792E-003 0.62463E-003 0.10865E-002
      42  0.45257E-003 0.73513E-003 0.49277E-003 0.99401E-003
      43  0.51285E-003 0.84113E-003 0.55278E-003 0.11296E-002
      44  0.51180E-003 0.90355E-003 0.59383E-003 0.11962E-002
      45  0.46352E-003 0.91354E-003 0.61631E-003 0.11955E-002
      46  0.39325E-003 0.88020E-003 0.62446E-003 0.11486E-002
      47   0.0000       0.0000       0.0000       0.0000     
      48  0.49014E-004 0.12116E-003 0.18146E-003 0.22363E-003
