NREL5MW-3
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.174	63.491	-21.673	0.0
4.207	302.738	-160.254	0.0
6.918	336.824	-277.386	0.0
9.967	2126.969	571.395	-532.288
13.695	5609.115	2113.349	-2000.605
17.76	7204.291	2348.248	-3180.606
21.825	8510.146	2317.865	-4380.101
25.89	10341.3	2365.203	-6069.007
29.954	12313.686	2417.529	-7436.215
34.019	14454.317	2457.897	-8127.645
38.084	16847.123	2510.01	-8650.652
42.149	18264.849	2482.003	-8305.755
46.214	19395.504	2430.81	-7705.297
50.279	20953.848	2391.432	-7599.65
54.007	18519.448	1931.908	-6114.189
57.056	15061.317	1445.618	-4514.999
59.762	12992.922	1179.82	-3177.972
61.795	4222.582	377.367	-663.966
