
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    13.238      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
       1   0.0000       0.0000       0.0000       0.0000     
       2 -0.78804E-004 0.25106E-003 0.30315E-004 0.26487E-003
       3  0.39556E-005 0.47285E-004 0.99800E-005 0.48488E-004
       4 -0.65014E-005 0.10604E-003 0.17671E-004 0.10770E-003
       5 -0.35058E-004 0.17421E-003 0.24140E-004 0.17934E-003
       6 -0.29729E-003 0.28253E-003 0.79577E-004 0.41778E-003
       7 -0.22845E-003 0.27776E-003 0.23559E-004 0.36041E-003
       8 -0.30964E-003 0.28130E-003 0.37965E-004 0.42006E-003
       9   0.0000       0.0000       0.0000       0.0000     
      10 -0.17243E-004 0.58176E-004 0.27364E-004 0.66562E-004
      11 -0.67090E-004 0.12697E-003 0.47807E-004 0.15135E-003
      12 -0.16247E-003 0.20197E-003 0.64243E-004 0.26705E-003
      13   0.0000       0.0000       0.0000       0.0000     
      14   0.0000       0.0000       0.0000       0.0000     
      15 -0.10922E-004 0.52168E-004 0.92672E-005 0.54098E-004
      16 -0.18837E-004 0.55107E-004 0.14444E-004 0.60002E-004
      17 -0.53950E-004 0.11748E-003 0.15326E-004 0.13018E-003
      18 -0.77040E-004 0.12192E-003 0.24238E-004 0.14624E-003
      19 -0.12851E-003 0.19307E-003 0.19674E-004 0.23276E-003
      20 -0.17645E-003 0.19759E-003 0.31435E-004 0.26677E-003
      21  0.34805E-003 0.60801E-003 0.42020E-003 0.81693E-003
      22 -0.19578E-003 0.30552E-003 0.14529E-003 0.39087E-003
      23 -0.28179E-004 0.36751E-003 0.23063E-003 0.43479E-003
      24  0.16776E-003 0.47240E-003 0.32596E-003 0.59796E-003
      25   0.0000       0.0000       0.0000       0.0000     
      26  0.49040E-004 0.10045E-003 0.12810E-003 0.17001E-003
      27  0.17583E-003 0.27102E-003 0.23625E-003 0.40023E-003
      28  0.28145E-003 0.44481E-003 0.33112E-003 0.62186E-003
      29   0.0000       0.0000       0.0000       0.0000     
      30   0.0000       0.0000       0.0000       0.0000     
      31   0.0000       0.0000       0.0000       0.0000     
      32 -0.65587E-005 0.63384E-004 0.47070E-004 0.79222E-004
      33  0.10872E-004 0.72435E-004 0.72442E-004 0.10302E-003
      34  0.31094E-004 0.85355E-004 0.10063E-003 0.13557E-003
      35 -0.25919E-004 0.14085E-003 0.84341E-004 0.16620E-003
      36  0.38097E-004 0.16992E-003 0.13163E-003 0.21829E-003
      37  0.11051E-003 0.21507E-003 0.18435E-003 0.30406E-003
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    13.238      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      38 -0.89700E-004 0.22197E-003 0.11570E-003 0.26590E-003
      39  0.26384E-004 0.26947E-003 0.18257E-003 0.32656E-003
      40  0.15967E-003 0.34660E-003 0.25728E-003 0.46024E-003
      41  0.32747E-003 0.81197E-003 0.61572E-003 0.10703E-002
      42  0.46596E-003 0.73355E-003 0.49444E-003 0.99984E-003
      43  0.52331E-003 0.83704E-003 0.55225E-003 0.11311E-002
      44  0.51965E-003 0.89643E-003 0.59105E-003 0.11929E-002
      45  0.46937E-003 0.90330E-003 0.61134E-003 0.11874E-002
      46  0.39777E-003 0.86699E-003 0.61745E-003 0.11363E-002
      47   0.0000       0.0000       0.0000       0.0000     
      48  0.49935E-004 0.11884E-003 0.17900E-003 0.22059E-003
      49  0.15299E-003 0.36661E-003 0.33361E-003 0.51876E-003
      50  0.24727E-003 0.60243E-003 0.47454E-003 0.80576E-003
      51   0.0000       0.0000       0.0000       0.0000     
      52   0.0000       0.0000       0.0000       0.0000     
      53   0.0000       0.0000       0.0000       0.0000     
      54   0.0000       0.0000       0.0000       0.0000     
      55  0.22066E-003 0.32632E-003 0.27993E-003 0.48326E-003
      56  0.18153E-003 0.37957E-003 0.33409E-003 0.53725E-003
      57  0.29910E-003 0.63760E-003 0.47744E-003 0.85085E-003
      58  0.35547E-003 0.66820E-003 0.47829E-003 0.89533E-003
      59  0.40064E-003 0.67349E-003 0.47040E-003 0.91399E-003
      60  0.40700E-003 0.62670E-003 0.44058E-003 0.86748E-003
      61  0.36210E-003 0.53919E-003 0.39048E-003 0.75783E-003
      62  0.55666E-004 0.12109E-003 0.17778E-003 0.22218E-003
      63  0.63617E-004 0.11766E-003 0.15241E-003 0.20278E-003
      64  0.80172E-004 0.14628E-003 0.18796E-003 0.25131E-003
      65  0.62240E-004 0.12443E-003 0.17491E-003 0.22350E-003
      66  0.21225E-003 0.39342E-003 0.33667E-003 0.55963E-003
      67  0.25775E-003 0.42819E-003 0.34809E-003 0.60905E-003
      68  0.27008E-003 0.41716E-003 0.33612E-003 0.59995E-003
      69  0.16406E-003 0.74514E-003 0.59205E-003 0.96575E-003
      70  0.27491E-003 0.76786E-003 0.61135E-003 0.10193E-002
      71  0.23280E-003 0.74105E-003 0.60597E-003 0.98517E-003
      72  0.19731E-003 0.73476E-003 0.60002E-003 0.96893E-003
      73   0.0000       0.0000       0.0000       0.0000     
      74  0.31255E-004 0.11149E-003 0.16977E-003 0.20549E-003
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    13.238      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
      75  0.72973E-004 0.34206E-003 0.31690E-003 0.47197E-003
