NREL5MW-B1-11
TSR: 7.55
Pitch: 0.0
V_inf: 10.0
Radius	Axial Force	Tangential Force	Moment
2.177	63.699	-21.821	0.0
4.22	303.531	-161.491	0.0
6.944	337.156	-279.677	0.0
10.008	2124.806	568.694	-533.167
13.753	5573.333	2084.763	-2020.84
17.838	7098.13	2279.091	-3208.209
21.922	8324.442	2221.976	-4398.601
26.007	10079.499	2245.153	-6098.887
30.091	11971.375	2273.664	-7477.082
34.176	14026.189	2289.417	-8185.99
38.26	16339.307	2316.687	-8727.774
42.345	17707.825	2270.483	-8345.581
46.429	18809.212	2204.881	-7706.708
50.513	20340.682	2150.547	-7604.135
54.259	17989.352	1720.687	-6119.387
57.323	14620.877	1272.179	-4518.376
60.042	12550.87	1017.653	-3177.163
62.084	3949.25	297.937	-660.113
