NODE UX UY UZ USUM
1 0.0000 0.0000 0.0000 0.0000
2 0.14674E-003 0.16671E-003 -0.85822E-004 0.23810E-003
3 0.86166E-005 0.39909E-004 -0.26369E-004 0.48603E-004
4 0.28919E-004 0.83902E-004 -0.48250E-004 0.10101E-003
5 0.75240E-004 0.12610E-003 -0.67536E-004 0.16163E-003
6 -0.38685E-003 0.16467E-003 -0.13299E-003 0.44097E-003
7 -0.33631E-004 0.19000E-003 -0.10485E-003 0.21960E-003
8 -0.22593E-003 0.18883E-003 -0.12457E-003 0.31971E-003
9 0.0000 0.0000 0.0000 0.0000
10 -0.46207E-004 0.35507E-004 -0.37272E-004 0.69174E-004
11 -0.14768E-003 0.73465E-004 -0.71227E-004 0.17966E-003
12 -0.26544E-003 0.11612E-003 -0.10285E-003 0.30745E-003
13 0.0000 0.0000 0.0000 0.0000
14 0.0000 0.0000 0.0000 0.0000
15 -0.10317E-004 0.40064E-004 -0.30869E-004 0.51619E-004
16 -0.30060E-004 0.38446E-004 -0.35618E-004 0.60418E-004
17 -0.31537E-004 0.87678E-004 -0.57551E-004 0.10952E-003
18 -0.95509E-004 0.83915E-004 -0.67350E-004 0.14387E-003
19 -0.40472E-004 0.13777E-003 -0.81741E-004 0.16523E-003
20 -0.16360E-003 0.13404E-003 -0.96574E-004 0.23251E-003
21 -0.36878E-003 0.17678E-003 0.42581E-004 0.41117E-003
22 -0.48093E-003 0.13357E-003 -0.12180E-003 0.51378E-003
23 -0.50195E-003 0.11505E-003 -0.87706E-004 0.52238E-003
24 -0.45680E-003 0.12672E-003 -0.31583E-004 0.47511E-003
25 0.0000 0.0000 0.0000 0.0000
26 -0.43438E-004 0.44993E-004 0.15851E-004 0.64517E-004
27 -0.12033E-003 0.90496E-004 0.26473E-004 0.15287E-003
28 -0.23266E-003 0.13299E-003 0.34215E-004 0.27016E-003
29 0.0000 0.0000 0.0000 0.0000
30 0.0000 0.0000 0.0000 0.0000
31 0.0000 0.0000 0.0000 0.0000
32 -0.55351E-004 0.32918E-004 -0.33414E-004 0.72552E-004
33 -0.56965E-004 0.32737E-004 -0.22938E-004 0.69591E-004
34 -0.51895E-004 0.36571E-004 -0.60900E-005 0.63778E-004
35 -0.17577E-003 0.62356E-004 -0.64632E-004 0.19739E-003
36 -0.17758E-003 0.57856E-004 -0.45538E-004 0.19224E-003
37 -0.15632E-003 0.66332E-004 -0.14497E-004 0.17043E-003
38 -0.32266E-003 0.94956E-004 -0.93998E-004 0.34923E-003
39 -0.33106E-003 0.83872E-004 -0.67315E-004 0.34809E-003
40 -0.29573E-003 0.94723E-004 -0.23467E-004 0.31141E-003
41 -0.13301E-003 0.60593E-003 0.45750E-003 0.77081E-003
42 -0.27808E-003 0.25052E-003 0.11764E-003 0.39234E-003
43 -0.19978E-003 0.33893E-003 0.19478E-003 0.43900E-003
44 -0.14767E-003 0.42574E-003 0.26882E-003 0.52471E-003
45 -0.12480E-003 0.49864E-003 0.33711E-003 0.61470E-003
46 -0.12346E-003 0.55572E-003 0.39946E-003 0.69544E-003
47 0.0000 0.0000 0.0000 0.0000
48 -0.29558E-004 0.98234E-004 0.12890E-003 0.16474E-003
49 -0.44017E-004 0.27731E-003 0.24198E-003 0.37066E-003
50 -0.79257E-004 0.44690E-003 0.34786E-003 0.57184E-003
51 0.0000 0.0000 0.0000 0.0000
52 0.0000 0.0000 0.0000 0.0000
53 0.0000 0.0000 0.0000 0.0000
54 0.0000 0.0000 0.0000 0.0000
55 -0.84390E-004 0.12627E-003 0.69088E-004 0.16685E-003
56 -0.37221E-004 0.24825E-003 0.20835E-003 0.32623E-003
57 -0.70182E-004 0.40756E-003 0.30367E-003 0.51307E-003
58 -0.69537E-004 0.37072E-003 0.25991E-003 0.45806E-003
59 -0.85750E-004 0.32326E-003 0.21158E-003 0.39575E-003
60 -0.12113E-003 0.25772E-003 0.15376E-003 0.32363E-003
61 -0.17237E-003 0.18798E-003 0.92165E-004 0.27119E-003
62 -0.26572E-004 0.88600E-004 0.10892E-003 0.14290E-003
63 -0.33464E-004 0.58191E-004 0.41038E-004 0.78678E-004
64 -0.30260E-004 0.80247E-004 0.73845E-004 0.11317E-003
65 -0.26488E-004 0.79144E-004 0.88857E-004 0.12191E-003
66 -0.36620E-004 0.22361E-003 0.17800E-003 0.28814E-003
67 -0.43731E-004 0.21548E-003 0.15546E-003 0.26928E-003
68 -0.65144E-004 0.18242E-003 0.12108E-003 0.22843E-003
69 -0.20276E-003 0.90262E-003 0.64431E-003 0.11274E-002
70 -0.14509E-003 0.65638E-003 0.50665E-003 0.84177E-003
71 -0.15927E-003 0.72052E-003 0.55422E-003 0.92287E-003
72 -0.17722E-003 0.80299E-003 0.60066E-003 0.10183E-002
73 0.0000 0.0000 0.0000 0.0000
74 -0.41252E-004 0.13202E-003 0.18621E-003 0.23196E-003
75 -0.86313E-004 0.40602E-003 0.34720E-003 0.54115E-003
76 -0.14020E-003 0.66662E-003 0.49483E-003 0.84196E-003
77 0.0000 0.0000 0.0000 0.0000
78 0.0000 0.0000 0.0000 0.0000
79 0.0000 0.0000 0.0000 0.0000
80 -0.32332E-004 0.10411E-003 0.14366E-003 0.18034E-003
81 -0.35097E-004 0.11156E-003 0.15797E-003 0.19655E-003
82 -0.37932E-004 0.12095E-003 0.17248E-003 0.21405E-003
83 -0.51849E-004 0.30119E-003 0.26893E-003 0.40709E-003
84 -0.60916E-004 0.32996E-003 0.29539E-003 0.44703E-003
85 -0.71951E-004 0.36520E-003 0.32194E-003 0.49213E-003
86 -0.90071E-004 0.48583E-003 0.38581E-003 0.62690E-003
87 -0.10267E-003 0.53407E-003 0.42293E-003 0.68894E-003
88 -0.11850E-003 0.59478E-003 0.45984E-003 0.76109E-003
89 -0.96949E-004 0.47866E-003 0.33562E-003 0.59259E-003
90 -0.25304E-003 0.10410E-002 0.69586E-003 0.12775E-002
91 -0.32235E-003 0.11564E-002 0.73318E-003 0.14067E-002
92 -0.39568E-003 0.12087E-002 0.74666E-003 0.14748E-002
93 -0.44684E-003 0.11761E-002 0.73016E-003 0.14547E-002
94 -0.45303E-003 0.10659E-002 0.68322E-003 0.13447E-002
95 -0.40781E-003 0.90987E-003 0.61217E-003 0.11700E-002
96 -0.31979E-003 0.74233E-003 0.52385E-003 0.96319E-003
97 -0.20857E-003 0.59296E-003 0.42898E-003 0.76100E-003
98 0.0000 0.0000 0.0000 0.0000
99 -0.21263E-004 0.82958E-004 0.10177E-003 0.13301E-003
100 -0.81006E-004 0.21655E-003 0.18690E-003 0.29730E-003
101 -0.10793E-003 0.35055E-003 0.26215E-003 0.45084E-003
102 0.0000 0.0000 0.0000 0.0000
103 0.0000 0.0000 0.0000 0.0000
104 0.0000 0.0000 0.0000 0.0000
105 0.0000 0.0000 0.0000 0.0000
106 0.0000 0.0000 0.0000 0.0000
107 0.0000 0.0000 0.0000 0.0000
108 0.0000 0.0000 0.0000 0.0000
109 0.0000 0.0000 0.0000 0.0000
110 -0.46427E-004 0.14645E-003 0.20185E-003 0.25367E-003
111 -0.53107E-004 0.15820E-003 0.21298E-003 0.27057E-003
112 -0.59542E-004 0.16321E-003 0.21723E-003 0.27815E-003
113 -0.63520E-004 0.15964E-003 0.21304E-003 0.27369E-003
114 -0.62955E-004 0.14810E-003 0.20026E-003 0.25691E-003
115 -0.57101E-004 0.13135E-003 0.18029E-003 0.23026E-003
116 -0.46795E-004 0.11304E-003 0.15542E-003 0.19780E-003
117 -0.34054E-004 0.96192E-004 0.12844E-003 0.16404E-003
118 -0.11110E-003 0.45843E-003 0.37634E-003 0.60343E-003
119 -0.14283E-003 0.49991E-003 0.39722E-003 0.65429E-003
120 -0.17550E-003 0.51672E-003 0.40528E-003 0.67974E-003
121 -0.19976E-003 0.50205E-003 0.39732E-003 0.67069E-003
122 -0.20741E-003 0.45841E-003 0.37310E-003 0.62638E-003
123 -0.19494E-003 0.39606E-003 0.33521E-003 0.55429E-003
124 -0.16487E-003 0.32809E-003 0.28813E-003 0.46674E-003
125 -0.12399E-003 0.26578E-003 0.23712E-003 0.37714E-003
126 -0.18044E-003 0.76226E-003 0.53570E-003 0.94898E-003
127 -0.23382E-003 0.83980E-003 0.56524E-003 0.10390E-002
128 -0.28978E-003 0.87347E-003 0.57645E-003 0.10859E-002
129 -0.33079E-003 0.84936E-003 0.56458E-003 0.10722E-002
130 -0.34150E-003 0.77256E-003 0.52940E-003 0.99686E-003
131 -0.31607E-003 0.66220E-003 0.47483E-003 0.87399E-003
132 -0.25961E-003 0.54275E-003 0.40712E-003 0.72644E-003
133 -0.18474E-003 0.43453E-003 0.33392E-003 0.57832E-003
134 0.57338E-004 0.35513E-003 0.11734E-003 0.37838E-003
135 -0.82320E-005 0.40625E-003 0.25100E-003 0.47761E-003
136 0.44004E-004 0.36910E-003 0.17811E-003 0.41219E-003
137 0.0000 0.0000 0.0000 0.0000
138 -0.11111E-005 0.65735E-004 0.36514E-004 0.75204E-004
139 -0.60942E-005 0.15230E-003 0.66265E-004 0.16621E-003
140 0.13400E-004 0.24944E-003 0.92064E-004 0.26622E-003
141 0.0000 0.0000 0.0000 0.0000
142 0.0000 0.0000 0.0000 0.0000
143 -0.10649E-004 0.73716E-004 0.76585E-004 0.10683E-003
144 -0.38205E-005 0.68406E-004 0.54888E-004 0.87787E-004
145 -0.43806E-004 0.18236E-003 0.14020E-003 0.23416E-003
146 -0.18395E-004 0.16237E-003 0.10002E-003 0.19159E-003
147 -0.43782E-004 0.29448E-003 0.19616E-003 0.35653E-003
148 -0.26570E-005 0.26348E-003 0.13949E-003 0.29814E-003
149 -0.19919E-004 0.34472E-003 -0.22794E-004 0.34604E-003
150 0.40091E-004 0.35120E-003 0.66305E-004 0.35964E-003
151 0.83975E-005 0.34849E-003 0.21071E-004 0.34922E-003
152 0.0000 0.0000 0.0000 0.0000
153 -0.58202E-005 0.63741E-004 -0.62784E-005 0.64313E-004
154 -0.10734E-004 0.14449E-003 -0.11831E-004 0.14537E-003
155 -0.15906E-004 0.23865E-003 -0.17170E-004 0.23979E-003
156 0.0000 0.0000 0.0000 0.0000
157 0.0000 0.0000 0.0000 0.0000
158 -0.16511E-005 0.64631E-004 0.21018E-004 0.67983E-004
159 -0.38815E-005 0.64005E-004 0.71936E-005 0.64525E-004
160 -0.44134E-005 0.14781E-003 0.37877E-004 0.15265E-003
161 -0.80724E-005 0.14547E-003 0.12680E-004 0.14624E-003
162 0.94697E-005 0.24397E-003 0.52295E-004 0.24970E-003
163 -0.42495E-005 0.24086E-003 0.17040E-004 0.24150E-003
164 0.41796E-004 0.59711E-003 -0.43735E-003 0.74132E-003
165 -0.30692E-004 0.34368E-003 -0.68995E-004 0.35188E-003
166 -0.18069E-004 0.35248E-003 -0.11919E-003 0.37253E-003
167 0.13649E-004 0.37664E-003 -0.17306E-003 0.41472E-003
168 0.52056E-004 0.41636E-003 -0.22858E-003 0.47782E-003
169 0.81681E-004 0.46412E-003 -0.28205E-003 0.54921E-003
170 0.93734E-004 0.51030E-003 -0.33070E-003 0.61527E-003
171 0.86523E-004 0.54660E-003 -0.37195E-003 0.66679E-003
172 0.66359E-004 0.57291E-003 -0.40696E-003 0.70586E-003
173 0.0000 0.0000 0.0000 0.0000
174 -0.18441E-005 0.93355E-004 -0.12578E-003 0.15665E-003
175 0.24288E-004 0.27230E-003 -0.23460E-003 0.36025E-003
176 0.39269E-004 0.44244E-003 -0.33508E-003 0.55639E-003
177 0.0000 0.0000 0.0000 0.0000
178 0.0000 0.0000 0.0000 0.0000
179 0.0000 0.0000 0.0000 0.0000
180 0.0000 0.0000 0.0000 0.0000
181 0.0000 0.0000 0.0000 0.0000
182 0.0000 0.0000 0.0000 0.0000
183 0.0000 0.0000 0.0000 0.0000
184 0.0000 0.0000 0.0000 0.0000
185 -0.60539E-005 0.64087E-004 -0.19999E-004 0.67407E-004
186 -0.41596E-005 0.65716E-004 -0.34835E-004 0.74494E-004
187 -0.73924E-006 0.68956E-004 -0.50601E-004 0.85533E-004
188 0.29808E-005 0.73698E-004 -0.66636E-004 0.99401E-004
189 0.55654E-005 0.79190E-004 -0.81996E-004 0.11413E-003
190 0.60740E-005 0.84350E-004 -0.95775E-004 0.12777E-003
