Alpha Cl Cd
-5	-5	-10
-4.8	-4.8	-9.8
-4.6	-4.6	-9.6
-4.4	-4.4	-9.4
-4.2	-4.2	-9.2
-4	-4	-9
-3.8	-3.8	-8.8
-3.6	-3.6	-8.6
-3.4	-3.4	-8.4
-3.2	-3.2	-8.2
-3	-3	-8
-2.8	-2.8	-7.8
-2.6	-2.6	-7.6
-2.4	-2.4	-7.4
-2.2	-2.2	-7.2
-2	-2	-7
-1.8	-1.8	-6.8
-1.6	-1.6	-6.6
-1.4	-1.4	-6.4
-1.2	-1.2	-6.2
-1	-1	-6
-0.8	-0.8	-5.8
-0.6	-0.6	-5.6
-0.4	-0.4	-5.4
-0.2	-0.2	-5.2
0	0	-5
0.2	0.04	-4.96
0.4	0.16	-4.84
0.6	0.36	-4.64
0.8	0.64	-4.36
1	1	-4
1.2	1.44	-3.56
1.4	1.96	-3.04
1.6	2.56	-2.44
1.8	3.24	-1.76
2	4	-1
2.2	4.84	-0.16
2.4	5.76	0.76
2.6	6.76	1.76
2.8	7.84	2.84
3	9	4
3.2	10.24	5.24
3.4	11.56	6.56
3.6	12.96	7.96
3.8	14.44	9.44
4	16	11
4.2	17.64	12.64
4.4	19.36	14.36
4.6	21.16	16.16
4.8	23.04	18.04
5	25	20
