AeroDyn airfoil file Created with QBlade v0.96 64bit on 05.08.2021 at 13:51:26 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.29          Angle of attack for zero Cn for linear Cn curve (deg)
6.11990        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7789        Cn at stall value for positive angle of attack for linear Cn curve
-0.8396        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0092         Minimum CD value
   -180.00   -0.1245    0.0060
   -179.00   -0.0881    0.0065
   -178.00   -0.0533    0.0080
   -177.00   -0.0199    0.0106
   -176.00    0.0122    0.0141
   -175.00    0.0431    0.0186
   -174.00    0.0728    0.0242
   -173.00    0.1015    0.0307
   -172.00    0.1292    0.0382
   -171.00    0.1558    0.0466
   -170.00    0.1814    0.0560
   -169.00    0.2060    0.0663
   -168.00    0.2296    0.0776
   -167.00    0.2521    0.0898
   -166.00    0.2737    0.1028
   -165.00    0.2942    0.1168
   -164.00    0.3136    0.1316
   -163.00    0.3320    0.1472
   -162.00    0.3493    0.1636
   -161.00    0.3656    0.1808
   -160.00    0.3808    0.1989
   -159.00    0.3950    0.2176
   -158.00    0.4081    0.2371
   -157.00    0.4202    0.2573
   -156.00    0.4312    0.2781
   -155.00    0.4411    0.2996
   -154.00    0.4500    0.3217
   -153.00    0.4580    0.3444
   -152.00    0.4649    0.3677
   -151.00    0.4708    0.3915
   -150.00    0.4757    0.4159
   -149.00    0.4797    0.4406
   -148.00    0.4828    0.4659
   -147.00    0.4849    0.4915
   -146.00    0.4862    0.5176
   -145.00    0.4866    0.5439
   -144.00    0.4862    0.5706
   -143.00    0.4849    0.5976
   -142.00    0.4829    0.6248
   -141.00    0.4801    0.6523
   -140.00    0.4766    0.6799
   -139.00    0.4724    0.7077
   -138.00    0.4676    0.7356
   -137.00    0.4621    0.7636
   -136.00    0.4560    0.7916
   -135.00    0.4493    0.8197
   -134.00    0.4371    0.8477
   -133.00    0.4296    0.8757
   -132.00    0.4216    0.9035
   -131.00    0.4131    0.9313
