AeroDyn airfoil file Created with QBlade v0.96 64bit on 03.10.2021 at 18:37:47 Compatible with AeroDyn v13.0.
Polar "CD = 0.5      360 Polar" on Foil "Circular Foil 0.5 Placeholder" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-180.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
0.49991        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.5000         Minimum CD value
   -180.00    0.0000    0.5000
   -179.00    0.0000    0.5000
   -178.00    0.0000    0.5000
   -177.00    0.0000    0.5000
   -176.00    0.0000    0.5000
   -175.00    0.0000    0.5000
   -174.00    0.0000    0.5000
   -173.00    0.0000    0.5000
   -172.00    0.0000    0.5000
   -171.00    0.0000    0.5000
   -170.00    0.0000    0.5000
   -169.00    0.0000    0.5000
   -168.00    0.0000    0.5000
   -167.00    0.0000    0.5000
   -166.00    0.0000    0.5000
   -165.00    0.0000    0.5000
   -164.00    0.0000    0.5000
   -163.00    0.0000    0.5000
   -162.00    0.0000    0.5000
   -161.00    0.0000    0.5000
   -160.00    0.0000    0.5000
   -159.00    0.0000    0.5000
   -158.00    0.0000    0.5000
   -157.00    0.0000    0.5000
   -156.00    0.0000    0.5000
   -155.00    0.0000    0.5000
   -154.00    0.0000    0.5000
   -153.00    0.0000    0.5000
   -152.00    0.0000    0.5000
   -151.00    0.0000    0.5000
   -150.00    0.0000    0.5000
   -149.00    0.0000    0.5000
   -148.00    0.0000    0.5000
   -147.00    0.0000    0.5000
   -146.00    0.0000    0.5000
   -145.00    0.0000    0.5000
   -144.00    0.0000    0.5000
   -143.00    0.0000    0.5000
   -142.00    0.0000    0.5000
   -141.00    0.0000    0.5000
   -140.00    0.0000    0.5000
   -139.00    0.0000    0.5000
   -138.00    0.0000    0.5000
   -137.00    0.0000    0.5000
   -136.00    0.0000    0.5000
   -135.00    0.0000    0.5000
   -134.00    0.0000    0.5000
   -133.00    0.0000    0.5000
   -132.00    0.0000    0.5000
   -131.00    0.0000    0.5000
   -130.00    0.0000    0.5000
   -129.00    0.0000    0.5000
   -128.00    0.0000    0.5000
   -127.00    0.0000    0.5000
   -126.00    0.0000    0.5000
   -125.00    0.0000    0.5000
   -124.00    0.0000    0.5000
   -123.00    0.0000    0.5000
   -122.00    0.0000    0.5000
   -121.00    0.0000    0.5000
   -120.00    0.0000    0.5000
   -119.00    0.0000    0.5000
   -118.00    0.0000    0.5000
   -117.00    0.0000    0.5000
   -116.00    0.0000    0.5000
   -115.00    0.0000    0.5000
   -114.00    0.0000    0.5000
   -113.00    0.0000    0.5000
   -112.00    0.0000    0.5000
   -111.00    0.0000    0.5000
   -110.00    0.0000    0.5000
   -109.00    0.0000    0.5000
   -108.00    0.0000    0.5000
   -107.00    0.0000    0.5000
   -106.00    0.0000    0.5000
   -105.00    0.0000    0.5000
   -104.00    0.0000    0.5000
   -103.00    0.0000    0.5000
   -102.00    0.0000    0.5000
   -101.00    0.0000    0.5000
   -100.00    0.0000    0.5000
    -99.00    0.0000    0.5000
    -98.00    0.0000    0.5000
    -97.00    0.0000    0.5000
    -96.00    0.0000    0.5000
    -95.00    0.0000    0.5000
    -94.00    0.0000    0.5000
    -93.00    0.0000    0.5000
    -92.00    0.0000    0.5000
    -91.00    0.0000    0.5000
    -90.00    0.0000    0.5000
    -89.00    0.0000    0.5000
    -88.00    0.0000    0.5000
    -87.00    0.0000    0.5000
    -86.00    0.0000    0.5000
    -85.00    0.0000    0.5000
    -84.00    0.0000    0.5000
    -83.00    0.0000    0.5000
    -82.00    0.0000    0.5000
    -81.00    0.0000    0.5000
    -80.00    0.0000    0.5000
    -79.00    0.0000    0.5000
    -78.00    0.0000    0.5000
    -77.00    0.0000    0.5000
    -76.00    0.0000    0.5000
    -75.00    0.0000    0.5000
    -74.00    0.0000    0.5000
    -73.00    0.0000    0.5000
    -72.00    0.0000    0.5000
    -71.00    0.0000    0.5000
    -70.00    0.0000    0.5000
    -69.00    0.0000    0.5000
    -68.00    0.0000    0.5000
    -67.00    0.0000    0.5000
    -66.00    0.0000    0.5000
    -65.00    0.0000    0.5000
    -64.00    0.0000    0.5000
    -63.00    0.0000    0.5000
    -62.00    0.0000    0.5000
    -61.00    0.0000    0.5000
    -60.00    0.0000    0.5000
    -59.00    0.0000    0.5000
    -58.00    0.0000    0.5000
    -57.00    0.0000    0.5000
    -56.00    0.0000    0.5000
    -55.00    0.0000    0.5000
    -54.00    0.0000    0.5000
    -53.00    0.0000    0.5000
    -52.00    0.0000    0.5000
    -51.00    0.0000    0.5000
    -50.00    0.0000    0.5000
    -49.00    0.0000    0.5000
    -48.00    0.0000    0.5000
    -47.00    0.0000    0.5000
    -46.00    0.0000    0.5000
    -45.00    0.0000    0.5000
    -44.00    0.0000    0.5000
    -43.00    0.0000    0.5000
    -42.00    0.0000    0.5000
    -41.00    0.0000    0.5000
    -40.00    0.0000    0.5000
    -39.00    0.0000    0.5000
    -38.00    0.0000    0.5000
    -37.00    0.0000    0.5000
    -36.00    0.0000    0.5000
    -35.00    0.0000    0.5000
    -34.00    0.0000    0.5000
    -33.00    0.0000    0.5000
    -32.00    0.0000    0.5000
    -31.00    0.0000    0.5000
    -30.00    0.0000    0.5000
    -29.00    0.0000    0.5000
    -28.00    0.0000    0.5000
    -27.00    0.0000    0.5000
    -26.00    0.0000    0.5000
    -25.00    0.0000    0.5000
    -24.00    0.0000    0.5000
    -23.00    0.0000    0.5000
    -22.00    0.0000    0.5000
    -21.00    0.0000    0.5000
    -20.00    0.0000    0.5000
    -19.00    0.0000    0.5000
    -18.00    0.0000    0.5000
    -17.00    0.0000    0.5000
    -16.00    0.0000    0.5000
    -15.00    0.0000    0.5000
    -14.00    0.0000    0.5000
    -13.00    0.0000    0.5000
    -12.00    0.0000    0.5000
    -11.00    0.0000    0.5000
    -10.00    0.0000    0.5000
     -9.00    0.0000    0.5000
     -8.00    0.0000    0.5000
     -7.00    0.0000    0.5000
     -6.00    0.0000    0.5000
     -5.00    0.0000    0.5000
     -4.00    0.0000    0.5000
     -3.00    0.0000    0.5000
     -2.00    0.0000    0.5000
     -1.00    0.0000    0.5000
      0.00    0.0000    0.5000
      1.00    0.0000    0.5000
      2.00    0.0000    0.5000
      3.00    0.0000    0.5000
      4.00    0.0000    0.5000
      5.00    0.0000    0.5000
      6.00    0.0000    0.5000
      7.00    0.0000    0.5000
      8.00    0.0000    0.5000
      9.00    0.0000    0.5000
     10.00    0.0000    0.5000
     11.00    0.0000    0.5000
     12.00    0.0000    0.5000
     13.00    0.0000    0.5000
     14.00    0.0000    0.5000
     15.00    0.0000    0.5000
     16.00    0.0000    0.5000
     17.00    0.0000    0.5000
     18.00    0.0000    0.5000
     19.00    0.0000    0.5000
     20.00    0.0000    0.5000
     21.00    0.0000    0.5000
     22.00    0.0000    0.5000
     23.00    0.0000    0.5000
     24.00    0.0000    0.5000
     25.00    0.0000    0.5000
     26.00    0.0000    0.5000
     27.00    0.0000    0.5000
     28.00    0.0000    0.5000
     29.00    0.0000    0.5000
     30.00    0.0000    0.5000
     31.00    0.0000    0.5000
     32.00    0.0000    0.5000
     33.00    0.0000    0.5000
     34.00    0.0000    0.5000
     35.00    0.0000    0.5000
     36.00    0.0000    0.5000
     37.00    0.0000    0.5000
     38.00    0.0000    0.5000
     39.00    0.0000    0.5000
     40.00    0.0000    0.5000
     41.00    0.0000    0.5000
     42.00    0.0000    0.5000
     43.00    0.0000    0.5000
     44.00    0.0000    0.5000
     45.00    0.0000    0.5000
     46.00    0.0000    0.5000
     47.00    0.0000    0.5000
     48.00    0.0000    0.5000
     49.00    0.0000    0.5000
     50.00    0.0000    0.5000
     51.00    0.0000    0.5000
     52.00    0.0000    0.5000
     53.00    0.0000    0.5000
     54.00    0.0000    0.5000
     55.00    0.0000    0.5000
     56.00    0.0000    0.5000
     57.00    0.0000    0.5000
     58.00    0.0000    0.5000
     59.00    0.0000    0.5000
     60.00    0.0000    0.5000
     61.00    0.0000    0.5000
     62.00    0.0000    0.5000
     63.00    0.0000    0.5000
     64.00    0.0000    0.5000
     65.00    0.0000    0.5000
     66.00    0.0000    0.5000
     67.00    0.0000    0.5000
     68.00    0.0000    0.5000
     69.00    0.0000    0.5000
     70.00    0.0000    0.5000
     71.00    0.0000    0.5000
     72.00    0.0000    0.5000
     73.00    0.0000    0.5000
     74.00    0.0000    0.5000
     75.00    0.0000    0.5000
     76.00    0.0000    0.5000
     77.00    0.0000    0.5000
     78.00    0.0000    0.5000
     79.00    0.0000    0.5000
     80.00    0.0000    0.5000
     81.00    0.0000    0.5000
     82.00    0.0000    0.5000
     83.00    0.0000    0.5000
     84.00    0.0000    0.5000
     85.00    0.0000    0.5000
     86.00    0.0000    0.5000
     87.00    0.0000    0.5000
     88.00    0.0000    0.5000
     89.00    0.0000    0.5000
     90.00    0.0000    0.5000
     91.00    0.0000    0.5000
     92.00    0.0000    0.5000
     93.00    0.0000    0.5000
     94.00    0.0000    0.5000
     95.00    0.0000    0.5000
     96.00    0.0000    0.5000
     97.00    0.0000    0.5000
     98.00    0.0000    0.5000
     99.00    0.0000    0.5000
    100.00    0.0000    0.5000
    101.00    0.0000    0.5000
    102.00    0.0000    0.5000
    103.00    0.0000    0.5000
    104.00    0.0000    0.5000
    105.00    0.0000    0.5000
    106.00    0.0000    0.5000
    107.00    0.0000    0.5000
    108.00    0.0000    0.5000
    109.00    0.0000    0.5000
    110.00    0.0000    0.5000
    111.00    0.0000    0.5000
    112.00    0.0000    0.5000
    113.00    0.0000    0.5000
    114.00    0.0000    0.5000
    115.00    0.0000    0.5000
    116.00    0.0000    0.5000
    117.00    0.0000    0.5000
    118.00    0.0000    0.5000
    119.00    0.0000    0.5000
    120.00    0.0000    0.5000
    121.00    0.0000    0.5000
    122.00    0.0000    0.5000
    123.00    0.0000    0.5000
    124.00    0.0000    0.5000
    125.00    0.0000    0.5000
    126.00    0.0000    0.5000
    127.00    0.0000    0.5000
    128.00    0.0000    0.5000
    129.00    0.0000    0.5000
    130.00    0.0000    0.5000
    131.00    0.0000    0.5000
    132.00    0.0000    0.5000
    133.00    0.0000    0.5000
    134.00    0.0000    0.5000
    135.00    0.0000    0.5000
    136.00    0.0000    0.5000
    137.00    0.0000    0.5000
    138.00    0.0000    0.5000
    139.00    0.0000    0.5000
    140.00    0.0000    0.5000
    141.00    0.0000    0.5000
    142.00    0.0000    0.5000
    143.00    0.0000    0.5000
    144.00    0.0000    0.5000
    145.00    0.0000    0.5000
    146.00    0.0000    0.5000
    147.00    0.0000    0.5000
    148.00    0.0000    0.5000
    149.00    0.0000    0.5000
    150.00    0.0000    0.5000
    151.00    0.0000    0.5000
    152.00    0.0000    0.5000
    153.00    0.0000    0.5000
    154.00    0.0000    0.5000
    155.00    0.0000    0.5000
    156.00    0.0000    0.5000
    157.00    0.0000    0.5000
    158.00    0.0000    0.5000
    159.00    0.0000    0.5000
    160.00    0.0000    0.5000
    161.00    0.0000    0.5000
    162.00    0.0000    0.5000
    163.00    0.0000    0.5000
    164.00    0.0000    0.5000
    165.00    0.0000    0.5000
    166.00    0.0000    0.5000
    167.00    0.0000    0.5000
    168.00    0.0000    0.5000
    169.00    0.0000    0.5000
    170.00    0.0000    0.5000
    171.00    0.0000    0.5000
    172.00    0.0000    0.5000
