AeroDyn airfoil file Created with QBlade v0.96 64bit on 04.10.2021 at 17:51:07 Compatible with AeroDyn v13.0.
Polar "Middle_T1_Re8.5_M0.00_N9.0 360 M" on Foil "Middle_T1_Re8.5_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.27          Angle of attack for zero Cn for linear Cn curve (deg)
6.66516        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5471        Cn at stall value for positive angle of attack for linear Cn curve
-0.7701        Cn at stall value for negative angle of attack for linear Cn curve
-5.00          Angle of attack for minimum CD (deg)
0.0094         Minimum CD value
   -180.00   -0.0364    0.0060
   -179.00    0.0455    0.0065
   -178.00    0.1126    0.0080
   -177.00    0.1627    0.0105
   -176.00    0.1980    0.0140
   -175.00    0.2233    0.0185
   -174.00    0.2432    0.0240
   -173.00    0.2609    0.0304
   -172.00    0.2784    0.0379
   -171.00    0.2964    0.0462
   -170.00    0.3151    0.0556
   -169.00    0.3345    0.0659
   -168.00    0.3544    0.0771
   -167.00    0.3747    0.0892
   -166.00    0.3952    0.1022
   -165.00    0.4157    0.1161
   -164.00    0.4360    0.1308
   -163.00    0.4560    0.1464
   -162.00    0.4757    0.1628
   -161.00    0.4948    0.1801
   -160.00    0.5134    0.1981
   -159.00    0.5314    0.2168
   -158.00    0.5486    0.2363
   -157.00    0.5651    0.2566
   -156.00    0.5809    0.2775
   -155.00    0.5958    0.2990
   -154.00    0.6099    0.3212
   -153.00    0.6231    0.3441
   -152.00    0.6354    0.3675
   -151.00    0.6468    0.3914
   -150.00    0.6572    0.4159
   -149.00    0.6667    0.4409
   -148.00    0.6752    0.4663
   -147.00    0.6828    0.4922
   -146.00    0.6894    0.5184
   -145.00    0.6950    0.5451
   -144.00    0.6997    0.5720
   -143.00    0.7033    0.5993
   -142.00    0.7060    0.6268
   -141.00    0.7077    0.6546
   -140.00    0.7084    0.6826
   -139.00    0.7082    0.7107
   -138.00    0.7070    0.7390
   -137.00    0.7049    0.7674
   -136.00    0.7018    0.7958
   -135.00    0.6978    0.8243
   -134.00    0.6929    0.8528
   -133.00    0.6871    0.8812
   -132.00    0.6804    0.9095
   -131.00    0.6729    0.9378
   -130.00    0.6645    0.9659
   -129.00    0.6552    0.9938
   -128.00    0.6452    1.0215
   -127.00    0.6343    1.0490
   -126.00    0.6227    1.0762
   -125.00    0.6104    1.1031
   -124.00    0.5973    1.1296
   -123.00    0.5835    1.1558
   -122.00    0.5690    1.1816
   -121.00    0.5539    1.2069
   -120.00    0.5381    1.2317
   -119.00    0.5217    1.2561
   -118.00    0.5047    1.2799
   -117.00    0.4872    1.3032
   -116.00    0.4691    1.3259
   -115.00    0.4505    1.3479
   -114.00    0.4304    1.3694
   -113.00    0.4109    1.3901
   -112.00    0.3910    1.4102
   -111.00    0.3706    1.4296
   -110.00    0.3499    1.4482
   -109.00    0.3288    1.4660
   -108.00    0.3075    1.4831
   -107.00    0.2858    1.4994
   -106.00    0.2638    1.5149
   -105.00    0.2416    1.5295
   -104.00    0.2191    1.5432
   -103.00    0.1965    1.5561
   -102.00    0.1737    1.5681
   -101.00    0.1508    1.5792
   -100.00    0.1277    1.5894
    -99.00    0.1046    1.5986
    -98.00    0.0813    1.6069
    -97.00    0.0581    1.6142
    -96.00    0.0348    1.6206
    -95.00    0.0116    1.6260
    -94.00   -0.0116    1.6305
    -93.00   -0.0348    1.6339
    -92.00   -0.0579    1.6364
    -91.00   -0.0808    1.6379
    -90.00   -0.1037    1.6384
    -89.00   -0.1263    1.6379
    -88.00   -0.1489    1.6364
    -87.00   -0.1712    1.6339
    -86.00   -0.1932    1.6304
    -85.00   -0.2151    1.6260
    -84.00   -0.2367    1.6206
    -83.00   -0.2579    1.6142
    -82.00   -0.2789    1.6069
    -81.00   -0.2996    1.5986
    -80.00   -0.3199    1.5893
    -79.00   -0.3399    1.5792
    -78.00   -0.3594    1.5681
    -77.00   -0.3786    1.5561
    -76.00   -0.3973    1.5432
    -75.00   -0.4156    1.5294
    -74.00   -0.4335    1.5148
    -73.00   -0.4509    1.4994
    -72.00   -0.4677    1.4831
    -71.00   -0.4841    1.4660
    -70.00   -0.5000    1.4481
    -69.00   -0.5153    1.4295
    -68.00   -0.5301    1.4101
    -67.00   -0.5443    1.3900
    -66.00   -0.5579    1.3693
    -65.00   -0.5710    1.3478
    -64.00   -0.5834    1.3258
    -63.00   -0.5953    1.3031
    -62.00   -0.6065    1.2798
    -61.00   -0.6170    1.2560
    -60.00   -0.6269    1.2316
    -59.00   -0.6362    1.2067
    -58.00   -0.6448    1.1814
    -57.00   -0.6527    1.1556
    -56.00   -0.6599    1.1295
    -55.00   -0.6664    1.1029
    -54.00   -0.6722    1.0760
    -53.00   -0.6773    1.0488
    -52.00   -0.6817    1.0213
    -51.00   -0.6854    0.9936
    -50.00   -0.6884    0.9657
    -49.00   -0.6906    0.9375
    -48.00   -0.6921    0.9093
    -47.00   -0.6929    0.8809
    -46.00   -0.6929    0.8525
    -45.00   -0.6922    0.8240
    -44.00   -0.6907    0.7955
    -43.00   -0.6885    0.7670
    -42.00   -0.6856    0.7386
    -41.00   -0.6820    0.7103
    -40.00   -0.6776    0.6821
    -39.00   -0.6725    0.6541
    -38.00   -0.6666    0.6263
    -37.00   -0.6601    0.5987
    -36.00   -0.6529    0.5714
    -35.00   -0.6450    0.5444
    -34.00   -0.6364    0.5177
    -33.00   -0.6272    0.4913
    -32.00   -0.6173    0.4654
    -31.00   -0.6069    0.4399
    -30.00   -0.5958    0.4148
    -29.00   -0.5843    0.3902
