AeroDyn airfoil file Created with QBlade v0.96 64bit on 04.10.2021 at 17:51:19 Compatible with AeroDyn v13.0.
Polar "Root_T1_Re5.5_M0.00_N9.0 360 M" on Foil "Root_T1_Re5.5_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.30          Angle of attack for zero Cn for linear Cn curve (deg)
6.47105        Cn slope for zero lift for linear Cn curve (1/rad)
0.8930         Cn at stall value for positive angle of attack for linear Cn curve
-0.8417        Cn at stall value for negative angle of attack for linear Cn curve
6.50           Angle of attack for minimum CD (deg)
0.0114         Minimum CD value
   -180.00   -0.0372    0.0060
   -179.00    0.0079    0.0065
   -178.00    0.0474    0.0080
   -177.00    0.0829    0.0105
   -176.00    0.1156    0.0140
   -175.00    0.1463    0.0185
   -174.00    0.1756    0.0240
   -173.00    0.2038    0.0304
   -172.00    0.2312    0.0379
   -171.00    0.2579    0.0462
   -170.00    0.2840    0.0556
   -169.00    0.3095    0.0659
   -168.00    0.3344    0.0771
   -167.00    0.3587    0.0892
   -166.00    0.3824    0.1022
   -165.00    0.4055    0.1161
   -164.00    0.4280    0.1308
   -163.00    0.4497    0.1464
   -162.00    0.4707    0.1628
   -161.00    0.4910    0.1801
   -160.00    0.5106    0.1981
   -159.00    0.5293    0.2168
   -158.00    0.5472    0.2363
   -157.00    0.5642    0.2566
   -156.00    0.5804    0.2775
   -155.00    0.5957    0.2990
   -154.00    0.6100    0.3212
   -153.00    0.6235    0.3441
   -152.00    0.6360    0.3675
   -151.00    0.6475    0.3914
   -150.00    0.6581    0.4159
   -149.00    0.6678    0.4409
   -148.00    0.6764    0.4663
   -147.00    0.6840    0.4922
   -146.00    0.6907    0.5184
   -145.00    0.6964    0.5451
   -144.00    0.7011    0.5720
   -143.00    0.7048    0.5993
   -142.00    0.7075    0.6268
   -141.00    0.7092    0.6546
   -140.00    0.7100    0.6826
   -139.00    0.7098    0.7107
   -138.00    0.7086    0.7390
   -137.00    0.7065    0.7674
   -136.00    0.7034    0.7958
   -135.00    0.6994    0.8243
   -134.00    0.6945    0.8528
   -133.00    0.6887    0.8812
   -132.00    0.6820    0.9095
   -131.00    0.6745    0.9378
   -130.00    0.6661    0.9659
   -129.00    0.6568    0.9938
   -128.00    0.6468    1.0215
   -127.00    0.6359    1.0490
   -126.00    0.6243    1.0762
   -125.00    0.6119    1.1031
   -124.00    0.5988    1.1296
   -123.00    0.5826    1.1558
   -122.00    0.5681    1.1816
   -121.00    0.5530    1.2069
   -120.00    0.5373    1.2317
   -119.00    0.5210    1.2561
   -118.00    0.5040    1.2799
   -117.00    0.4865    1.3032
   -116.00    0.4685    1.3259
   -115.00    0.4499    1.3479
   -114.00    0.4309    1.3694
   -113.00    0.4114    1.3901
   -112.00    0.3914    1.4102
   -111.00    0.3711    1.4296
   -110.00    0.3504    1.4482
   -109.00    0.3293    1.4660
   -108.00    0.3079    1.4831
   -107.00    0.2861    1.4994
   -106.00    0.2641    1.5149
   -105.00    0.2419    1.5295
   -104.00    0.2194    1.5432
   -103.00    0.1968    1.5561
   -102.00    0.1740    1.5681
   -101.00    0.1510    1.5792
   -100.00    0.1279    1.5894
    -99.00    0.1047    1.5986
    -98.00    0.0815    1.6069
    -97.00    0.0582    1.6142
    -96.00    0.0349    1.6206
    -95.00    0.0116    1.6260
    -94.00   -0.0116    1.6305
    -93.00   -0.0348    1.6339
    -92.00   -0.0579    1.6364
    -91.00   -0.0809    1.6379
    -90.00   -0.1037    1.6384
    -89.00   -0.1265    1.6379
    -88.00   -0.1490    1.6364
    -87.00   -0.1713    1.6339
    -86.00   -0.1934    1.6304
    -85.00   -0.2153    1.6260
    -84.00   -0.2369    1.6206
    -83.00   -0.2582    1.6142
    -82.00   -0.2792    1.6069
    -81.00   -0.2999    1.5986
    -80.00   -0.3202    1.5893
    -79.00   -0.3402    1.5792
    -78.00   -0.3598    1.5681
    -77.00   -0.3790    1.5561
    -76.00   -0.3977    1.5432
    -75.00   -0.4161    1.5294
    -74.00   -0.4339    1.5148
    -73.00   -0.4513    1.4994
    -72.00   -0.4682    1.4831
    -71.00   -0.4846    1.4660
    -70.00   -0.5005    1.4481
    -69.00   -0.5158    1.4295
    -68.00   -0.5306    1.4101
    -67.00   -0.5448    1.3900
    -66.00   -0.5585    1.3693
    -65.00   -0.5715    1.3478
    -64.00   -0.5840    1.3258
    -63.00   -0.5958    1.3031
    -62.00   -0.6070    1.2798
    -61.00   -0.6175    1.2560
    -60.00   -0.6274    1.2316
    -59.00   -0.6367    1.2067
    -58.00   -0.6453    1.1814
    -57.00   -0.6532    1.1556
    -56.00   -0.6604    1.1295
    -55.00   -0.6669    1.1029
    -54.00   -0.6727    1.0760
    -53.00   -0.6778    1.0488
    -52.00   -0.6822    1.0213
    -51.00   -0.6858    0.9936
    -50.00   -0.6888    0.9657
    -49.00   -0.6910    0.9375
    -48.00   -0.6925    0.9093
    -47.00   -0.6932    0.8809
    -46.00   -0.6932    0.8525
    -45.00   -0.6925    0.8240
    -44.00   -0.6910    0.7955
    -43.00   -0.6888    0.7670
    -42.00   -0.6858    0.7386
    -41.00   -0.6822    0.7103
    -40.00   -0.6777    0.6821
    -39.00   -0.6726    0.6541
    -38.00   -0.6668    0.6263
    -37.00   -0.6602    0.5987
    -36.00   -0.6530    0.5714
    -35.00   -0.6450    0.5443
    -34.00   -0.6364    0.5176
    -33.00   -0.6272    0.4913
    -32.00   -0.6173    0.4653
