AeroDyn airfoil file Created with QBlade v0.96 64bit on 04.10.2021 at 17:51:33 Compatible with AeroDyn v13.0.
Polar "Tip_T1_Re9.5_M0.00_N9.0 360 M" on Foil "Tip_T1_Re9.5_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.25          Angle of attack for zero Cn for linear Cn curve (deg)
6.69763        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5490        Cn at stall value for positive angle of attack for linear Cn curve
-0.7717        Cn at stall value for negative angle of attack for linear Cn curve
-5.00          Angle of attack for minimum CD (deg)
0.0087         Minimum CD value
   -180.00   -0.0359    0.0060
   -179.00    0.0552    0.0065
   -178.00    0.1397    0.0080
   -177.00    0.2097    0.0105
   -176.00    0.2592    0.0140
   -175.00    0.2882    0.0185
   -174.00    0.3032    0.0240
   -173.00    0.3117    0.0304
   -172.00    0.3190    0.0379
   -171.00    0.3278    0.0462
   -170.00    0.3391    0.0556
   -169.00    0.3528    0.0659
   -168.00    0.3683    0.0771
   -167.00    0.3853    0.0892
   -166.00    0.4033    0.1022
   -165.00    0.4219    0.1161
   -164.00    0.4408    0.1308
   -163.00    0.4598    0.1464
   -162.00    0.4787    0.1628
   -161.00    0.4972    0.1801
   -160.00    0.5153    0.1981
   -159.00    0.5330    0.2168
   -158.00    0.5500    0.2363
   -157.00    0.5663    0.2566
   -156.00    0.5819    0.2775
   -155.00    0.5968    0.2990
   -154.00    0.6108    0.3212
   -153.00    0.6239    0.3441
   -152.00    0.6362    0.3675
   -151.00    0.6476    0.3914
   -150.00    0.6580    0.4159
   -149.00    0.6675    0.4409
   -148.00    0.6761    0.4663
   -147.00    0.6837    0.4922
   -146.00    0.6903    0.5184
   -145.00    0.6959    0.5451
   -144.00    0.7006    0.5720
   -143.00    0.7043    0.5993
   -142.00    0.7070    0.6268
   -141.00    0.7087    0.6546
   -140.00    0.7095    0.6826
   -139.00    0.7093    0.7107
   -138.00    0.7081    0.7390
   -137.00    0.7060    0.7674
   -136.00    0.7030    0.7958
   -135.00    0.6990    0.8243
   -134.00    0.6941    0.8528
   -133.00    0.6883    0.8812
   -132.00    0.6816    0.9095
   -131.00    0.6741    0.9378
   -130.00    0.6657    0.9659
   -129.00    0.6565    0.9938
   -128.00    0.6464    1.0215
   -127.00    0.6356    1.0490
   -126.00    0.6240    1.0762
   -125.00    0.6116    1.1031
   -124.00    0.5985    1.1296
   -123.00    0.5847    1.1558
   -122.00    0.5702    1.1816
   -121.00    0.5550    1.2069
   -120.00    0.5392    1.2317
   -119.00    0.5228    1.2561
   -118.00    0.5058    1.2799
   -117.00    0.4883    1.3032
   -116.00    0.4702    1.3259
   -115.00    0.4515    1.3479
   -114.00    0.4324    1.3694
   -113.00    0.4129    1.3901
   -112.00    0.3920    1.4102
   -111.00    0.3717    1.4296
   -110.00    0.3509    1.4482
   -109.00    0.3298    1.4660
   -108.00    0.3083    1.4831
   -107.00    0.2866    1.4994
   -106.00    0.2645    1.5149
   -105.00    0.2422    1.5295
   -104.00    0.2197    1.5432
   -103.00    0.1971    1.5561
   -102.00    0.1742    1.5681
   -101.00    0.1512    1.5792
   -100.00    0.1281    1.5894
    -99.00    0.1048    1.5986
    -98.00    0.0816    1.6069
    -97.00    0.0582    1.6142
    -96.00    0.0349    1.6206
    -95.00    0.0116    1.6260
    -94.00   -0.0117    1.6305
    -93.00   -0.0349    1.6339
    -92.00   -0.0581    1.6364
    -91.00   -0.0811    1.6379
    -90.00   -0.1040    1.6384
    -89.00   -0.1268    1.6379
    -88.00   -0.1493    1.6364
    -87.00   -0.1717    1.6339
    -86.00   -0.1939    1.6304
    -85.00   -0.2158    1.6260
    -84.00   -0.2374    1.6206
    -83.00   -0.2588    1.6142
    -82.00   -0.2798    1.6069
    -81.00   -0.3005    1.5986
    -80.00   -0.3209    1.5893
    -79.00   -0.3409    1.5792
    -78.00   -0.3605    1.5681
    -77.00   -0.3797    1.5561
    -76.00   -0.3985    1.5432
    -75.00   -0.4169    1.5294
    -74.00   -0.4348    1.5148
    -73.00   -0.4522    1.4994
    -72.00   -0.4691    1.4831
    -71.00   -0.4855    1.4660
    -70.00   -0.5014    1.4481
    -69.00   -0.5168    1.4295
    -68.00   -0.5316    1.4101
    -67.00   -0.5459    1.3900
    -66.00   -0.5595    1.3693
    -65.00   -0.5726    1.3478
    -64.00   -0.5850    1.3258
    -63.00   -0.5969    1.3031
    -62.00   -0.6081    1.2798
    -61.00   -0.6187    1.2560
    -60.00   -0.6286    1.2316
    -59.00   -0.6379    1.2067
    -58.00   -0.6464    1.1814
    -57.00   -0.6544    1.1556
    -56.00   -0.6616    1.1295
    -55.00   -0.6681    1.1029
    -54.00   -0.6739    1.0760
    -53.00   -0.6790    1.0488
    -52.00   -0.6834    1.0213
    -51.00   -0.6871    0.9936
    -50.00   -0.6900    0.9657
    -49.00   -0.6922    0.9375
    -48.00   -0.6937    0.9093
    -47.00   -0.6945    0.8809
    -46.00   -0.6945    0.8525
    -45.00   -0.6937    0.8240
    -44.00   -0.6923    0.7955
    -43.00   -0.6900    0.7670
    -42.00   -0.6871    0.7386
    -41.00   -0.6834    0.7103
    -40.00   -0.6790    0.6821
    -39.00   -0.6739    0.6541
    -38.00   -0.6680    0.6263
    -37.00   -0.6614    0.5987
    -36.00   -0.6542    0.5714
    -35.00   -0.6462    0.5444
    -34.00   -0.6376    0.5177
    -33.00   -0.6284    0.4913
    -32.00   -0.6185    0.4654
    -31.00   -0.6080    0.4399
    -30.00   -0.5969    0.4148
    -29.00   -0.5854    0.3902
    -28.00   -0.5733    0.3661
    -27.00   -0.5609    0.3425
    -26.00   -0.5481    0.3195
    -25.00   -0.5352    0.2970
    -24.00   -0.5222    0.2751
    -23.00   -0.5094    0.2538
    -22.00   -0.4971    0.2332
    -21.00   -0.4857    0.2131
    -20.00   -0.4758    0.1936
    -19.00   -0.4684    0.1746
    -18.00   -0.4648    0.1561
    -17.00   -0.4671    0.1381
    -16.00   -0.4785    0.1202
    -15.00   -0.5039    0.1025
    -14.00   -0.5496    0.0845
    -13.00   -0.6219    0.0664
    -12.00   -0.7201    0.0486
    -11.00   -0.8219    0.0329
    -10.00   -0.8802    0.0219
     -9.00   -0.8606    0.0164
     -8.00   -0.7772    0.0146
     -7.00   -0.6664    0.0141
     -6.00   -0.5505    0.0138
     -5.00   -0.4427    0.0087
     -4.50   -0.3811    0.0095
     -4.00   -0.3217    0.0100
     -3.50   -0.2629    0.0103
     -3.00   -0.2047    0.0105
     -2.50   -0.1468    0.0108
     -2.00   -0.0885    0.0109
     -1.50   -0.0297    0.0109
     -1.00    0.0290    0.0109
     -0.50    0.0873    0.0111
      0.00    0.1455    0.0112
      0.50    0.2038    0.0113
      1.00    0.2629    0.0113
      1.50    0.3209    0.0115
      2.00    0.3789    0.0117
      2.50    0.4388    0.0115
      3.00    0.4995    0.0112
      3.50    0.5611    0.0107
      4.00    0.6221    0.0102
      4.50    0.6828    0.0097
      5.00    0.7420    0.0094
      5.50    0.7990    0.0092
      6.00    0.8482    0.0094
      6.50    0.8747    0.0113
      7.00    0.9010    0.0128
      7.50    0.9292    0.0139
      8.00    0.9497    0.0149
      8.50    0.9717    0.0162
      9.00    0.9908    0.0177
      9.50    1.0081    0.0197
     10.50    1.0509    0.0242
     11.00    1.0752    0.0265
     11.50    1.0835    0.0301
     12.00    1.0953    0.0335
     12.50    1.1009    0.0375
     13.00    1.1095    0.0412
     13.50    1.1110    0.0460
     14.00    1.1183    0.0505
     14.50    1.1278    0.0549
     15.00    1.1338    0.0597
     15.50    1.1318    0.0655
     16.00    1.1152    0.0736
     16.50    1.0837    0.0848
     17.00    1.0878    0.0916
     17.50    1.0948    0.0980
     18.00    1.0919    0.1064
     18.50    1.0853    0.1155
     19.00    1.0758    0.1254
     19.50    1.0601    0.1363
     20.00    1.0309    0.1505
     21.00    1.0363    0.1728
     22.00    1.0232    0.1941
     23.00    1.0121    0.2162
     24.00    1.0032    0.2391
     25.00    0.9963    0.2627
     26.00    0.9914    0.2869
     27.00    0.9881    0.3117
     28.00    0.9863    0.3370
     29.00    0.9859    0.3629
     30.00    0.9865    0.3893
     31.00    0.9880    0.4160
     32.00    0.9903    0.4432
     33.00    0.9931    0.4708
     34.00    0.9964    0.4987
     35.00    0.9998    0.5269
     36.00    1.0035    0.5555
     37.00    1.0071    0.5842
     38.00    1.0106    0.6132
     39.00    1.0139    0.6424
     40.00    1.0170    0.6718
     41.00    1.0196    0.7013
     42.00    1.0219    0.7309
     43.00    1.0236    0.7605
     44.00    1.0248    0.7902
     45.00    1.0253    0.8199
     46.00    1.0252    0.8496
     47.00    1.0244    0.8792
     48.00    1.0228    0.9087
     49.00    1.0205    0.9380
     50.00    1.0173    0.9672
     51.00    1.0133    0.9962
     52.00    1.0084    1.0250
     53.00    1.0026    1.0535
     54.00    0.9960    1.0817
     55.00    0.9883    1.1096
     56.00    0.9798    1.1371
     57.00    0.9703    1.1643
     58.00    0.9598    1.1909
     59.00    0.9484    1.2172
     60.00    0.9360    1.2429
     61.00    0.9227    1.2682
     62.00    0.9084    1.2928
     63.00    0.8931    1.3169
     64.00    0.8768    1.3404
     65.00    0.8596    1.3633
     66.00    0.8415    1.3855
     67.00    0.8224    1.4070
     68.00    0.8024    1.4278
     69.00    0.7815    1.4479
     70.00    0.7596    1.4672
     71.00    0.7370    1.4857
     72.00    0.7134    1.5034
     73.00    0.6890    1.5203
     74.00    0.6638    1.5363
     75.00    0.6379    1.5514
     76.00    0.6111    1.5657
     77.00    0.5836    1.5791
     78.00    0.5554    1.5915
     79.00    0.5266    1.6031
     80.00    0.4970    1.6136
     81.00    0.4669    1.6232
     82.00    0.4362    1.6319
     83.00    0.4049    1.6395
     84.00    0.3731    1.6462
     85.00    0.3409    1.6519
     86.00    0.3082    1.6565
     87.00    0.2751    1.6602
     88.00    0.2417    1.6628
     89.00    0.2079    1.6644
     90.00    0.1739    1.6650
     91.00    0.1397    1.6646
     92.00    0.1052    1.6632
     93.00    0.0707    1.6607
     94.00    0.0360    1.6573
     95.00    0.0013    1.6528
     96.00   -0.0335    1.6473
     97.00   -0.0681    1.6408
     98.00   -0.1028    1.6334
     99.00   -0.1372    1.6249
    100.00   -0.1715    1.6155
    101.00   -0.2056    1.6051
    102.00   -0.2394    1.5938
    103.00   -0.2729    1.5816
    104.00   -0.3060    1.5684
    105.00   -0.3387    1.5543
    106.00   -0.3710    1.5394
    107.00   -0.4027    1.5236
    108.00   -0.4339    1.5070
    109.00   -0.4646    1.4895
    110.00   -0.4946    1.4712
    111.00   -0.5239    1.4522
    112.00   -0.5525    1.4324
    113.00   -0.5803    1.4118
    114.00   -0.6074    1.3906
    115.00   -0.6336    1.3687
    116.00   -0.6589    1.3461
    117.00   -0.6915    1.3229
    118.00   -0.7149    1.2992
    119.00   -0.7373    1.2748
    120.00   -0.7587    1.2499
    121.00   -0.7791    1.2245
    122.00   -0.7983    1.1987
    123.00   -0.8166    1.1723
    124.00   -0.8336    1.1456
    125.00   -0.8496    1.1185
    126.00   -0.8644    1.0911
    127.00   -0.8779    1.0633
    128.00   -0.8903    1.0353
    129.00   -0.9015    1.0070
    130.00   -0.9114    0.9785
    131.00   -0.9201    0.9499
    132.00   -0.9275    0.9211
    133.00   -0.9336    0.8922
    134.00   -0.9385    0.8633
    135.00   -0.9420    0.8343
    136.00   -0.9443    0.8053
    137.00   -0.9453    0.7763
    138.00   -0.9450    0.7475
    139.00   -0.9435    0.7187
    140.00   -0.9406    0.6901
    141.00   -0.9365    0.6616
    142.00   -0.9312    0.6334
    143.00   -0.9246    0.6054
    144.00   -0.9168    0.5778
    145.00   -0.9077    0.5504
    146.00   -0.8975    0.5234
    147.00   -0.8861    0.4967
    148.00   -0.8736    0.4705
    149.00   -0.8599    0.4447
    150.00   -0.8452    0.4194
    151.00   -0.8294    0.3946
    152.00   -0.8126    0.3704
    153.00   -0.7948    0.3467
    154.00   -0.7761    0.3236
    155.00   -0.7564    0.3012
    156.00   -0.7359    0.2794
    157.00   -0.7146    0.2582
    158.00   -0.6926    0.2378
    159.00   -0.6699    0.2181
    160.00   -0.6465    0.1992
    161.00   -0.6226    0.1810
    162.00   -0.5982    0.1637
    163.00   -0.5734    0.1471
    164.00   -0.5483    0.1314
    165.00   -0.5229    0.1166
    166.00   -0.4975    0.1026
    167.00   -0.4720    0.0895
    168.00   -0.4466    0.0773
    169.00   -0.4215    0.0661
    170.00   -0.3967    0.0557
    171.00   -0.3723    0.0464
    172.00   -0.3483    0.0379
    173.00   -0.3244    0.0305
    174.00   -0.3001    0.0240
    175.00   -0.2744    0.0185
    176.00   -0.2455    0.0140
    177.00   -0.2105    0.0105
    178.00   -0.1658    0.0080
    179.00   -0.1081    0.0065
    180.00   -0.0359    0.0060
