AeroDyn airfoil file Created with QBlade v0.96 64bit on 30.03.2022 at 16:36:34 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.87          Angle of attack for zero Cn for linear Cn curve (deg)
6.17626        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7210        Cn at stall value for positive angle of attack for linear Cn curve
-0.7523        Cn at stall value for negative angle of attack for linear Cn curve
2.50           Angle of attack for minimum CD (deg)
0.0124         Minimum CD value
   -180.00   -0.0792    0.0060
   -179.00    0.0072    0.0065
   -178.00    0.0928    0.0079
   -177.00    0.1738    0.0103
   -176.00    0.2422    0.0137
   -175.00    0.2886    0.0180
   -174.00    0.3101    0.0232
   -173.00    0.3132    0.0294
   -172.00    0.3086    0.0365
   -171.00    0.3041    0.0445
   -170.00    0.3033    0.0534
   -169.00    0.3068    0.0632
   -168.00    0.3141    0.0739
   -167.00    0.3242    0.0855
   -166.00    0.3363    0.0978
   -165.00    0.3497    0.1111
   -164.00    0.3639    0.1251
   -163.00    0.3785    0.1399
   -162.00    0.3931    0.1556
   -161.00    0.4075    0.1719
   -160.00    0.4215    0.1890
   -159.00    0.4351    0.2068
   -158.00    0.4481    0.2253
   -157.00    0.4605    0.2445
   -156.00    0.4722    0.2643
   -155.00    0.4830    0.2848
   -154.00    0.4931    0.3058
   -153.00    0.5024    0.3274
   -152.00    0.5109    0.3495
   -151.00    0.5185    0.3721
   -150.00    0.5252    0.3953
   -149.00    0.5311    0.4189
   -148.00    0.5361    0.4429
   -147.00    0.5403    0.4673
   -146.00    0.5436    0.4920
   -145.00    0.5461    0.5171
   -144.00    0.5478    0.5425
   -143.00    0.5486    0.5682
   -142.00    0.5486    0.5941
   -141.00    0.5479    0.6202
   -140.00    0.5463    0.6466
   -139.00    0.5440    0.6730
   -138.00    0.5410    0.6996
   -137.00    0.5372    0.7262
   -136.00    0.5328    0.7529
   -135.00    0.5276    0.7796
   -134.00    0.5218    0.8063
   -133.00    0.5154    0.8330
   -132.00    0.5083    0.8596
   -131.00    0.5007    0.8860
   -130.00    0.4925    0.9123
   -129.00    0.4837    0.9385
   -128.00    0.4744    0.9644
   -127.00    0.4646    0.9901
   -126.00    0.4544    1.0155
   -125.00    0.4437    1.0407
   -124.00    0.4325    1.0655
   -123.00    0.4210    1.0899
   -122.00    0.4090    1.1140
   -121.00    0.3967    1.1376
   -120.00    0.3841    1.1608
   -119.00    0.3711    1.1835
   -118.00    0.3578    1.2057
   -117.00    0.3443    1.2274
   -116.00    0.3304    1.2486
   -115.00    0.3164    1.2691
   -114.00    0.3021    1.2891
   -113.00    0.2876    1.3085
   -112.00    0.2730    1.3272
   -111.00    0.2581    1.3452
   -110.00    0.2425    1.3625
   -109.00    0.2274    1.3791
   -108.00    0.2122    1.3950
   -107.00    0.1969    1.4102
   -106.00    0.1815    1.4246
   -105.00    0.1660    1.4382
   -104.00    0.1504    1.4509
   -103.00    0.1348    1.4629
   -102.00    0.1191    1.4741
   -101.00    0.1035    1.4844
   -100.00    0.0878    1.4938
    -99.00    0.0721    1.5024
    -98.00    0.0564    1.5101
    -97.00    0.0408    1.5169
    -96.00    0.0251    1.5229
    -95.00    0.0096    1.5279
    -94.00   -0.0060    1.5320
    -93.00   -0.0215    1.5352
    -92.00   -0.0369    1.5375
    -91.00   -0.0522    1.5389
    -90.00   -0.0675    1.5393
    -89.00   -0.0826    1.5389
    -88.00   -0.0977    1.5375
    -87.00   -0.1126    1.5352
    -86.00   -0.1275    1.5320
    -85.00   -0.1422    1.5279
    -84.00   -0.1568    1.5228
    -83.00   -0.1712    1.5169
    -82.00   -0.1855    1.5101
    -81.00   -0.1996    1.5024
