AeroDyn airfoil file Created with QBlade v0.96 64bit on 30.03.2022 at 16:37:00 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.82          Angle of attack for zero Cn for linear Cn curve (deg)
7.01699        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5433        Cn at stall value for positive angle of attack for linear Cn curve
-0.7228        Cn at stall value for negative angle of attack for linear Cn curve
-8.50          Angle of attack for minimum CD (deg)
0.0096         Minimum CD value
   -180.00   -0.1362    0.0060
   -179.00   -0.0371    0.0065
   -178.00    0.0604    0.0080
   -177.00    0.1499    0.0104
   -176.00    0.2192    0.0139
   -175.00    0.2581    0.0183
   -174.00    0.2681    0.0237
   -173.00    0.2619    0.0300
   -172.00    0.2518    0.0373
   -171.00    0.2448    0.0455
   -170.00    0.2428    0.0547
   -169.00    0.2454    0.0647
   -168.00    0.2516    0.0757
   -167.00    0.2602    0.0875
   -166.00    0.2704    0.1002
   -165.00    0.2814    0.1138
   -164.00    0.2929    0.1282
   -163.00    0.3043    0.1434
   -162.00    0.3154    0.1594
   -161.00    0.3260    0.1761
   -160.00    0.3360    0.1936
   -159.00    0.3453    0.2119
   -158.00    0.3538    0.2308
   -157.00    0.3614    0.2504
   -156.00    0.3682    0.2707
   -155.00    0.3740    0.2916
   -154.00    0.3789    0.3131
   -153.00    0.3829    0.3352
   -152.00    0.3860    0.3578
   -151.00    0.3881    0.3809
   -150.00    0.3894    0.4045
   -149.00    0.3898    0.4286
   -148.00    0.3894    0.4531
   -147.00    0.3882    0.4780
   -146.00    0.3862    0.5033
   -145.00    0.3834    0.5289
   -144.00    0.3799    0.5549
   -143.00    0.3758    0.5811
   -142.00    0.3709    0.6075
   -141.00    0.3655    0.6341
   -140.00    0.3595    0.6610
   -139.00    0.3530    0.6879
   -138.00    0.3460    0.7150
   -137.00    0.3386    0.7422
   -136.00    0.3307    0.7694
   -135.00    0.3225    0.7966
   -134.00    0.3140    0.8238
   -133.00    0.3051    0.8509
   -132.00    0.2961    0.8780
   -131.00    0.2867    0.9049
   -130.00    0.2773    0.9317
   -129.00    0.2676    0.9583
   -128.00    0.2579    0.9847
   -127.00    0.2481    1.0108
   -126.00    0.2383    1.0367
   -125.00    0.2284    1.0623
   -124.00    0.2186    1.0875
   -123.00    0.2088    1.1124
   -122.00    0.1990    1.1368
   -121.00    0.1894    1.1608
   -120.00    0.1799    1.1844
   -119.00    0.1705    1.2075
   -118.00    0.1612    1.2301
   -117.00    0.1521    1.2521
   -116.00    0.1432    1.2736
   -115.00    0.1345    1.2945
   -114.00    0.1260    1.3148
   -113.00    0.1177    1.3345
   -112.00    0.1097    1.3534
   -111.00    0.1018    1.3718
   -110.00    0.0936    1.3894
   -109.00    0.0862    1.4062
   -108.00    0.0791    1.4224
   -107.00    0.0721    1.4377
   -106.00    0.0654    1.4523
   -105.00    0.0589    1.4661
   -104.00    0.0526    1.4791
   -103.00    0.0465    1.4913
   -102.00    0.0406    1.5026
   -101.00    0.0349    1.5130
   -100.00    0.0293    1.5226
    -99.00    0.0239    1.5313
    -98.00    0.0186    1.5392
