AeroDyn airfoil file Created with QBlade v0.96 64bit on 30.03.2022 at 16:37:11 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-5.90          Angle of attack for zero Cn for linear Cn curve (deg)
7.23628        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4663        Cn at stall value for positive angle of attack for linear Cn curve
-0.4939        Cn at stall value for negative angle of attack for linear Cn curve
-4.00          Angle of attack for minimum CD (deg)
0.0069         Minimum CD value
   -180.00   -0.1722    0.0060
   -179.00   -0.0708    0.0065
   -178.00    0.0281    0.0080
   -177.00    0.1166    0.0106
   -176.00    0.1820    0.0142
   -175.00    0.2162    0.0187
   -174.00    0.2242    0.0243
   -173.00    0.2192    0.0309
   -172.00    0.2124    0.0384
   -171.00    0.2089    0.0470
   -170.00    0.2100    0.0564
   -169.00    0.2150    0.0668
   -168.00    0.2229    0.0782
   -167.00    0.2328    0.0905
   -166.00    0.2437    0.1036
   -165.00    0.2552    0.1177
   -164.00    0.2667    0.1326
   -163.00    0.2780    0.1483
   -162.00    0.2887    0.1649
   -161.00    0.2988    0.1822
   -160.00    0.3080    0.2004
   -159.00    0.3164    0.2193
   -158.00    0.3238    0.2389
   -157.00    0.3303    0.2592
   -156.00    0.3357    0.2802
   -155.00    0.3401    0.3019
   -154.00    0.3435    0.3242
   -153.00    0.3459    0.3470
   -152.00    0.3472    0.3705
   -151.00    0.3476    0.3945
   -150.00    0.3471    0.4189
   -149.00    0.3456    0.4439
   -148.00    0.3433    0.4693
   -147.00    0.3401    0.4951
   -146.00    0.3361    0.5213
   -145.00    0.3314    0.5479
   -144.00    0.3259    0.5748
   -143.00    0.3198    0.6019
   -142.00    0.3130    0.6293
   -141.00    0.3057    0.6570
   -140.00    0.2978    0.6848
   -139.00    0.2895    0.7127
   -138.00    0.2808    0.7408
   -137.00    0.2717    0.7689
   -136.00    0.2623    0.7972
   -135.00    0.2526    0.8254
   -134.00    0.2427    0.8536
   -133.00    0.2326    0.8817
   -132.00    0.2223    0.9098
   -131.00    0.2120    0.9377
   -130.00    0.2017    0.9655
   -129.00    0.1913    0.9931
   -128.00    0.1811    1.0204
   -127.00    0.1708    1.0475
   -126.00    0.1608    1.0744
   -125.00    0.1508    1.1009
   -124.00    0.1411    1.1270
   -123.00    0.1316    1.1528
   -122.00    0.1223    1.1782
   -121.00    0.1133    1.2031
   -120.00    0.1046    1.2275
   -119.00    0.0962    1.2515
   -118.00    0.0882    1.2749
   -117.00    0.0805    1.2978
   -116.00    0.0732    1.3201
   -115.00    0.0662    1.3417
   -114.00    0.0596    1.3628
   -113.00    0.0535    1.3832
   -112.00    0.0477    1.4029
   -111.00    0.0423    1.4219
   -110.00    0.0367    1.4401
   -109.00    0.0321    1.4576
   -108.00    0.0279    1.4744
   -107.00    0.0240    1.4903
   -106.00    0.0205    1.5054
   -105.00    0.0173    1.5198
   -104.00    0.0145    1.5332
   -103.00    0.0120    1.5458
   -102.00    0.0097    1.5576
   -101.00    0.0078    1.5684
   -100.00    0.0061    1.5784
    -99.00    0.0046    1.5874
    -98.00    0.0033    1.5955
    -97.00    0.0022    1.6027
    -96.00    0.0013    1.6089
    -95.00    0.0004    1.6142
    -94.00   -0.0003    1.6186
    -93.00   -0.0009    1.6219
    -92.00   -0.0015    1.6243
    -91.00   -0.0021    1.6258
    -90.00   -0.0027    1.6263
    -89.00   -0.0033    1.6258
    -88.00   -0.0040    1.6243
    -87.00   -0.0047    1.6219
    -86.00   -0.0056    1.6185
    -85.00   -0.0066    1.6142
    -84.00   -0.0078    1.6089
    -83.00   -0.0091    1.6027
    -82.00   -0.0107    1.5955
    -81.00   -0.0125    1.5874
    -80.00   -0.0145    1.5783
    -79.00   -0.0168    1.5684
    -78.00   -0.0194    1.5575
    -77.00   -0.0222    1.5458
    -76.00   -0.0254    1.5332
    -75.00   -0.0288    1.5197
    -74.00   -0.0326    1.5054
    -73.00   -0.0367    1.4903
    -72.00   -0.0411    1.4743
    -71.00   -0.0459    1.4576
    -70.00   -0.0510    1.4400
    -69.00   -0.0564    1.4218
    -68.00   -0.0621    1.4028
    -67.00   -0.0682    1.3831
    -66.00   -0.0746    1.3627
    -65.00   -0.0812    1.3417
    -64.00   -0.0882    1.3200
    -63.00   -0.0954    1.2977
    -62.00   -0.1029    1.2748
    -61.00   -0.1106    1.2514
    -60.00   -0.1185    1.2274
    -59.00   -0.1266    1.2030
    -58.00   -0.1349    1.1780
    -57.00   -0.1434    1.1527
    -56.00   -0.1519    1.1269
    -55.00   -0.1606    1.1007
    -54.00   -0.1693    1.0742
    -53.00   -0.1780    1.0473
    -52.00   -0.1867    1.0202
    -51.00   -0.1954    0.9928
    -50.00   -0.2041    0.9652
    -49.00   -0.2126    0.9374
    -48.00   -0.2210    0.9095
    -47.00   -0.2292    0.8814
    -46.00   -0.2372    0.8532
    -45.00   -0.2449    0.8250
    -44.00   -0.2524    0.7967
    -43.00   -0.2595    0.7685
    -42.00   -0.2663    0.7403
    -41.00   -0.2728    0.7122
    -40.00   -0.2788    0.6842
    -39.00   -0.2843    0.6563
    -38.00   -0.2894    0.6286
    -37.00   -0.2940    0.6011
    -36.00   -0.2981    0.5739
    -35.00   -0.3016    0.5469
    -34.00   -0.3046    0.5202
    -33.00   -0.3071    0.4939
    -32.00   -0.3090    0.4679
    -31.00   -0.3104    0.4423
    -30.00   -0.3114    0.4171
    -29.00   -0.3119    0.3923
    -28.00   -0.3122    0.3680
    -27.00   -0.3123    0.3441
    -26.00   -0.3126    0.3207
    -25.00   -0.3134    0.2977
    -24.00   -0.3152    0.2751
    -23.00   -0.3190    0.2528
    -22.00   -0.3259    0.2308
    -21.00   -0.3382    0.2089
    -20.00   -0.4819    0.2287
    -19.50   -0.4715    0.2232
    -19.00   -0.4609    0.2177
    -18.50   -0.4498    0.2124
    -18.00   -0.4378    0.2073
    -17.50   -0.4251    0.2024
    -17.00   -0.4139    0.1968
    -16.50   -0.4037    0.1909
    -16.00   -0.3943    0.1849
    -15.50   -0.3860    0.1787
    -15.00   -0.3787    0.1725
    -14.50   -0.3705    0.1658
    -14.00   -0.3509    0.1573
    -13.50   -0.3313    0.1484
    -12.00   -0.5026    0.0663
    -11.50   -0.5346    0.0509
    -11.00   -0.5501    0.0416
    -10.50   -0.5366    0.0333
    -10.00   -0.5196    0.0269
     -9.50   -0.4655    0.0209
     -9.00   -0.3931    0.0175
     -8.50   -0.3490    0.0155
     -8.00   -0.2813    0.0135
     -7.50   -0.2242    0.0120
     -7.00   -0.1445    0.0110
     -6.50   -0.0746    0.0109
     -6.00   -0.0123    0.0096
     -5.50    0.0476    0.0089
     -4.50    0.1677    0.0078
     -4.00    0.2310    0.0069
     -3.50    0.2889    0.0071
     -3.00    0.3460    0.0072
     -2.50    0.4045    0.0073
     -2.00    0.4628    0.0074
     -1.50    0.5198    0.0076
     -1.00    0.5767    0.0078
     -0.50    0.6349    0.0079
      0.00    0.6936    0.0079
      0.50    0.7520    0.0080
      1.00    0.8097    0.0081
      1.50    0.8681    0.0081
      2.00    0.9247    0.0082
      2.50    0.9819    0.0085
      3.00    1.0393    0.0086
