7	-356654	7	-276312	7	-199328	7	-129655	7	-70582.4	7	-21630.5	7	16229.7	7	38645.5	7	47528.8	7	47591.6	7	41807.8	7	29797.4	7	10756.3	7	-12387.1	7	-41378.3	7	-75556.9	7	-114969	7	-159709	7	-209811	7	-264602	7	-322987
7.5	-454745	7.5	-356712	7.5	-265888	7.5	-182553	7.5	-111662	7.5	-53496.4	7.5	-7237.76	7.5	19071.9	7.5	31121.1	7.5	31894.2	7.5	24263.1	7.5	10459.2	7.5	-12334.1	7.5	-41752.7	7.5	-77483	7.5	-119970	7.5	-168525	7.5	-223908	7.5	-286157	7.5	-354293	7.5	-427167
8	-568685	8	-450226	8	-342088	8	-242960	8	-158330	8	-88851.8	8	-36611.9	8	-4321.74	8	11506.4	8	12689	8	5069.74	8	-12635	8	-39857.9	8	-75179.3	8	-118500	8	-170115	8	-229173	8	-297567	8	-373474	8	-456971	8	-546535
8.5	-730919	8.5	-555816	8.5	-428398	8.5	-311992	8.5	-211498	8.5	-130419	8.5	-69503.1	8.5	-31421.8	8.5	-11991.8	8.5	-9230.26	8.5	-17361.9	8.5	-38515.1	8.5	-68762.5	8.5	-112925	8.5	-165209	8.5	-227413	8.5	-299216	8.5	-380879	8.5	-472466	8.5	-573518	8.5	-682361
9	-900818	9	-708026	9	-567202	9	-390442	9	-272193	9	-176372	9	-105404	9	-58429.8	9	-39288.4	9	-34145.5	9	-41693.4	9	-66915	9	-104749	9	-155029	9	-217669	9	-291536	9	-377138	9	-474992	9	-584395	9	-704994	9	-835435
9.5	-957294	9.5	-843026	9.5	-708593	9.5	-516085	9.5	-340753	9.5	-229216	9.5	-147802	9.5	-95999.2	9.5	-69259.6	9.5	-61480.8	9.5	-72515.1	9.5	-99127.5	9.5	-143139	9.5	-202648	9.5	-275986	9.5	-363112	9.5	-464556	9.5	-580155	9.5	-709448	9.5	-852445	9.5	-1006880
10	-1008300	10	-963605	10	-828598	10	-646520	10	-448486	10	-288554	10	-192362	10	-134565	10	-102240	10	-93840.3	10	-105158	10	-135991	10	-187050	10	-255173	10	-340642	10	-443213	10	-561187	10	-695189	10	-848865	10	-1016420	10	-1197940
10.5	-1134210	10.5	-1064540	10.5	-947220	10.5	-747070	10.5	-568240	10.5	-386788	10.5	-243885	10.5	-176365	10.5	-141524	10.5	-129049	10.5	-141077	10.5	-176120	10.5	-234272	10.5	-313039	10.5	-412039	10.5	-530808	10.5	-667825	10.5	-825658	10.5	-1002810	10.5	-1197850	10.5	-1409680
11	-1211630	11	-1228620	11	-1041490	11	-865313	11	-645488	11	-475954	11	-335326	11	-222078	11	-182724	11	-167476	11	-180895	11	-220749	11	-286679	11	-376799	11	-490583	11	-627389	11	-786928	11	-968561	11	-1172410	11	-1397720	11	-1642580
11.5	-1348690	11.5	-1233440	11.5	-1141560	11.5	-999391	11.5	-765661	11.5	-560260	11.5	-402710	11.5	-274951	11.5	-229689	11.5	-211508	11.5	-223579	11.5	-268568	11.5	-343596	11.5	-446422	11.5	-576656	11.5	-733706	11.5	-915105	11.5	-1125200	11.5	-1359480	11.5	-1616870	11.5	-1898040
12	-1561390	12	-1360620	12	-1302420	12	-1099780	12	-882788	12	-649921	12	-488112	12	-367870	12	-274816	12	-259334	12	-273210	12	-322769	12	-406072	12	-522720	12	-670518	12	-849705	12	-1056170	12	-1294810	12	-1562520	12	-1857190	12	-2177160
